Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Ejercicio físico;Total
Ambos sexos;Total;Castilla y León;Sentado/a la mayor parte del día;36,09
Ambos sexos;Total;Castilla y León;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;39,70
Ambos sexos;Total;Castilla y León;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;18,77
Ambos sexos;Total;Castilla y León;Realizando tareas que requieren gran esfuerzo físico;3,90
Ambos sexos;Total;Castilla y León;No aplicable;1,54
Ambos sexos;Total;Castilla-La Mancha;TOTAL;100,00
Ambos sexos;Total;Castilla-La Mancha;Sentado/a la mayor parte del día;29,94
Ambos sexos;Total;Castilla-La Mancha;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;34,34
Ambos sexos;Total;Castilla-La Mancha;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;25,73
Ambos sexos;Total;Castilla-La Mancha;Realizando tareas que requieren gran esfuerzo físico;9,48
Ambos sexos;Total;Castilla-La Mancha;No aplicable;0,51
Ambos sexos;Total;Cataluña;TOTAL;100,00
Ambos sexos;Total;Cataluña;Sentado/a la mayor parte del día;38,72
Ambos sexos;Total;Cataluña;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;34,92
Ambos sexos;Total;Cataluña;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;19,94
Ambos sexos;Total;Cataluña;Realizando tareas que requieren gran esfuerzo físico;5,29
Ambos sexos;Total;Cataluña;No aplicable;1,14
Ambos sexos;Total;Comunitat Valenciana;TOTAL;100,00
Ambos sexos;Total;Comunitat Valenciana;Sentado/a la mayor parte del día;33,61
Ambos sexos;Total;Comunitat Valenciana;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;44,86
Ambos sexos;Total;Comunitat Valenciana;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;18,26
Ambos sexos;Total;Comunitat Valenciana;Realizando tareas que requieren gran esfuerzo físico;3,02
Ambos sexos;Total;Comunitat Valenciana;No aplicable;0,24
Ambos sexos;Total;Extremadura;TOTAL;100,00
Ambos sexos;Total;Extremadura;Sentado/a la mayor parte del día;35,47
Ambos sexos;Total;Extremadura;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;42,77
Ambos sexos;Total;Extremadura;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;16,00
Ambos sexos;Total;Extremadura;Realizando tareas que requieren gran esfuerzo físico;5,52
Ambos sexos;Total;Extremadura;No aplicable;0,23
Ambos sexos;Total;Galicia;TOTAL;100,00
Ambos sexos;Total;Galicia;Sentado/a la mayor parte del día;30,61
Ambos sexos;Total;Galicia;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;45,64
Ambos sexos;Total;Galicia;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;20,51
Ambos sexos;Total;Galicia;Realizando tareas que requieren gran esfuerzo físico;3,14
Ambos sexos;Total;Galicia;No aplicable;0,11
Ambos sexos;Total;Madrid (Comunidad de);TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Sentado/a la mayor parte del día;46,26
Ambos sexos;Total;Madrid (Comunidad de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;35,59
Ambos sexos;Total;Madrid (Comunidad de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;14,31
Ambos sexos;Total;Madrid (Comunidad de);Realizando tareas que requieren gran esfuerzo físico;2,04
Ambos sexos;Total;Madrid (Comunidad de);No aplicable;1,80
Ambos sexos;Total;Murcia (Región de);TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Sentado/a la mayor parte del día;30,97
Ambos sexos;Total;Murcia (Región de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;25,95
Ambos sexos;Total;Murcia (Región de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;31,56
Ambos sexos;Total;Murcia (Región de);Realizando tareas que requieren gran esfuerzo físico;9,90
Ambos sexos;Total;Murcia (Región de);No aplicable;1,63
Ambos sexos;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Sentado/a la mayor parte del día;34,27
Ambos sexos;Total;Navarra (Comunidad Foral de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;50,42
Ambos sexos;Total;Navarra (Comunidad Foral de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;12,15
Ambos sexos;Total;Navarra (Comunidad Foral de);Realizando tareas que requieren gran esfuerzo físico;1,84
Ambos sexos;Total;Navarra (Comunidad Foral de);No aplicable;1,33
Ambos sexos;Total;País Vasco;TOTAL;100,00
Ambos sexos;Total;País Vasco;Sentado/a la mayor parte del día;36,66
Ambos sexos;Total;País Vasco;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;44,74
Ambos sexos;Total;País Vasco;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;13,84
Ambos sexos;Total;País Vasco;Realizando tareas que requieren gran esfuerzo físico;4,41
Ambos sexos;Total;País Vasco;No aplicable;0,36
Ambos sexos;Total;Rioja (La);TOTAL;100,00
Ambos sexos;Total;Rioja (La);Sentado/a la mayor parte del día;36,15
Ambos sexos;Total;Rioja (La);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;34,63
Ambos sexos;Total;Rioja (La);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;23,64
Ambos sexos;Total;Rioja (La);Realizando tareas que requieren gran esfuerzo físico;4,76
Ambos sexos;Total;Rioja (La);No aplicable;0,81
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Sentado/a la mayor parte del día;26,06
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;37,67
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;26,98
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Realizando tareas que requieren gran esfuerzo físico;7,90
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);No aplicable;1,40
Ambos sexos;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Sentado/a la mayor parte del día;36,45
Ambos sexos;Total;Melilla (Ciudad Autónoma de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;54,72
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;8,83
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Realizando tareas que requieren gran esfuerzo físico;0,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);No aplicable;0,00
Hombres;Total;;TOTAL;100,00
Hombres;Total;;Sentado/a la mayor parte del día;36,45
Hombres;Total;;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;33,82
Hombres;Total;;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;21,64
Hombres;Total;;Realizando tareas que requieren gran esfuerzo físico;7,38
Hombres;Total;;No aplicable;0,71
Hombres;Total;Andalucía;TOTAL;100,00
Hombres;Total;Andalucía;Sentado/a la mayor parte del día;31,70
Hombres;Total;Andalucía;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;38,50
Hombres;Total;Andalucía;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;19,20
Hombres;Total;Andalucía;Realizando tareas que requieren gran esfuerzo físico;9,98
Hombres;Total;Andalucía;No aplicable;0,61
Hombres;Total;Aragón;TOTAL;100,00
Hombres;Total;Aragón;Sentado/a la mayor parte del día;36,12
Hombres;Total;Aragón;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;32,03
Hombres;Total;Aragón;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;25,37
Hombres;Total;Aragón;Realizando tareas que requieren gran esfuerzo físico;5,68
Hombres;Total;Aragón;No aplicable;0,80
Hombres;Total;Asturias (Principado de);TOTAL;100,00
Hombres;Total;Asturias (Principado de);Sentado/a la mayor parte del día;35,41
Hombres;Total;Asturias (Principado de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;39,20
Hombres;Total;Asturias (Principado de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;20,07
Hombres;Total;Asturias (Principado de);Realizando tareas que requieren gran esfuerzo físico;5,32
Hombres;Total;Asturias (Principado de);No aplicable;0,00
Hombres;Total;Balears (Illes);TOTAL;100,00
Hombres;Total;Balears (Illes);Sentado/a la mayor parte del día;36,57
Hombres;Total;Balears (Illes);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;33,63
Hombres;Total;Balears (Illes);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;18,26
Hombres;Total;Balears (Illes);Realizando tareas que requieren gran esfuerzo físico;9,34
Hombres;Total;Balears (Illes);No aplicable;2,20
Hombres;Total;Canarias;TOTAL;100,00
Hombres;Total;Canarias;Sentado/a la mayor parte del día;31,84
Hombres;Total;Canarias;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;42,96
Hombres;Total;Canarias;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;20,93
Hombres;Total;Canarias;Realizando tareas que requieren gran esfuerzo físico;4,28
Hombres;Total;Canarias;No aplicable;0,00
Hombres;Total;Cantabria;TOTAL;100,00
Hombres;Total;Cantabria;Sentado/a la mayor parte del día;26,06
Hombres;Total;Cantabria;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;47,95
Hombres;Total;Cantabria;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;21,78
Hombres;Total;Cantabria;Realizando tareas que requieren gran esfuerzo físico;4,06
Hombres;Total;Cantabria;No aplicable;0,15
Hombres;Total;Castilla y León;TOTAL;100,00
Hombres;Total;Castilla y León;Sentado/a la mayor parte del día;34,95
Hombres;Total;Castilla y León;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;31,56
Hombres;Total;Castilla y León;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;25,52
Hombres;Total;Castilla y León;Realizando tareas que requieren gran esfuerzo físico;7,24
Hombres;Total;Castilla y León;No aplicable;0,73
Hombres;Total;Castilla-La Mancha;TOTAL;100,00
Hombres;Total;Castilla-La Mancha;Sentado/a la mayor parte del día;27,54
Hombres;Total;Castilla-La Mancha;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;27,24
Hombres;Total;Castilla-La Mancha;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;27,17
Hombres;Total;Castilla-La Mancha;Realizando tareas que requieren gran esfuerzo físico;17,77
Hombres;Total;Castilla-La Mancha;No aplicable;0,28
Hombres;Total;Cataluña;TOTAL;100,00
Hombres;Total;Cataluña;Sentado/a la mayor parte del día;36,76
Hombres;Total;Cataluña;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;29,37
Hombres;Total;Cataluña;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;25,95
Hombres;Total;Cataluña;Realizando tareas que requieren gran esfuerzo físico;7,03
Hombres;Total;Cataluña;No aplicable;0,89
Hombres;Total;Comunitat Valenciana;TOTAL;100,00
Hombres;Total;Comunitat Valenciana;Sentado/a la mayor parte del día;38,11
Hombres;Total;Comunitat Valenciana;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;34,68
Hombres;Total;Comunitat Valenciana;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;21,08
Hombres;Total;Comunitat Valenciana;Realizando tareas que requieren gran esfuerzo físico;5,87
Hombres;Total;Comunitat Valenciana;No aplicable;0,26
Hombres;Total;Extremadura;TOTAL;100,00
Hombres;Total;Extremadura;Sentado/a la mayor parte del día;38,41
Hombres;Total;Extremadura;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;28,62
Hombres;Total;Extremadura;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;22,61
Hombres;Total;Extremadura;Realizando tareas que requieren gran esfuerzo físico;10,36
Hombres;Total;Extremadura;No aplicable;0,00
Hombres;Total;Galicia;TOTAL;100,00
Hombres;Total;Galicia;Sentado/a la mayor parte del día;32,18
Hombres;Total;Galicia;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;40,35
Hombres;Total;Galicia;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;21,79
Hombres;Total;Galicia;Realizando tareas que requieren gran esfuerzo físico;5,68
Hombres;Total;Galicia;No aplicable;0,00
Hombres;Total;Madrid (Comunidad de);TOTAL;100,00
Hombres;Total;Madrid (Comunidad de);Sentado/a la mayor parte del día;48,43
Hombres;Total;Madrid (Comunidad de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;30,30
Hombres;Total;Madrid (Comunidad de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;17,49
Hombres;Total;Madrid (Comunidad de);Realizando tareas que requieren gran esfuerzo físico;2,60
Hombres;Total;Madrid (Comunidad de);No aplicable;1,19
Hombres;Total;Murcia (Región de);TOTAL;100,00
Hombres;Total;Murcia (Región de);Sentado/a la mayor parte del día;31,10
Hombres;Total;Murcia (Región de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;21,29
Hombres;Total;Murcia (Región de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;27,11
Hombres;Total;Murcia (Región de);Realizando tareas que requieren gran esfuerzo físico;18,51
Hombres;Total;Murcia (Región de);No aplicable;1,99
Hombres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Hombres;Total;Navarra (Comunidad Foral de);Sentado/a la mayor parte del día;33,27
Hombres;Total;Navarra (Comunidad Foral de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;46,24
Hombres;Total;Navarra (Comunidad Foral de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;14,85
Hombres;Total;Navarra (Comunidad Foral de);Realizando tareas que requieren gran esfuerzo físico;2,97
Hombres;Total;Navarra (Comunidad Foral de);No aplicable;2,68
Hombres;Total;País Vasco;TOTAL;100,00
Hombres;Total;País Vasco;Sentado/a la mayor parte del día;35,95
Hombres;Total;País Vasco;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;38,60
Hombres;Total;País Vasco;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;17,96
Hombres;Total;País Vasco;Realizando tareas que requieren gran esfuerzo físico;7,32
Hombres;Total;País Vasco;No aplicable;0,18
Hombres;Total;Rioja (La);TOTAL;100,00
Hombres;Total;Rioja (La);Sentado/a la mayor parte del día;37,14
Hombres;Total;Rioja (La);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;30,31
Hombres;Total;Rioja (La);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;23,91
Hombres;Total;Rioja (La);Realizando tareas que requieren gran esfuerzo físico;7,78
Hombres;Total;Rioja (La);No aplicable;0,85
Hombres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Sentado/a la mayor parte del día;24,48
Hombres;Total;Ceuta (Ciudad Autónoma de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;30,82
Hombres;Total;Ceuta (Ciudad Autónoma de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;28,46
Hombres;Total;Ceuta (Ciudad Autónoma de);Realizando tareas que requieren gran esfuerzo físico;15,65
Hombres;Total;Ceuta (Ciudad Autónoma de);No aplicable;0,59
Hombres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Sentado/a la mayor parte del día;42,43
Hombres;Total;Melilla (Ciudad Autónoma de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;49,00
Hombres;Total;Melilla (Ciudad Autónoma de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;8,57
Hombres;Total;Melilla (Ciudad Autónoma de);Realizando tareas que requieren gran esfuerzo físico;0,00
Hombres;Total;Melilla (Ciudad Autónoma de);No aplicable;0,00
Mujeres;Total;;TOTAL;100,00
Mujeres;Total;;Sentado/a la mayor parte del día;35,76
Mujeres;Total;;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;46,37
Mujeres;Total;;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;14,96
Mujeres;Total;;Realizando tareas que requieren gran esfuerzo físico;1,93
Mujeres;Total;;No aplicable;0,97
Mujeres;Total;Andalucía;TOTAL;100,00
Mujeres;Total;Andalucía;Sentado/a la mayor parte del día;33,35
Mujeres;Total;Andalucía;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;49,68
Mujeres;Total;Andalucía;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;13,55
Mujeres;Total;Andalucía;Realizando tareas que requieren gran esfuerzo físico;2,90
Mujeres;Total;Andalucía;No aplicable;0,52
Mujeres;Total;Aragón;TOTAL;100,00
Mujeres;Total;Aragón;Sentado/a la mayor parte del día;37,27
Mujeres;Total;Aragón;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;47,67
Mujeres;Total;Aragón;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;11,93
Mujeres;Total;Aragón;Realizando tareas que requieren gran esfuerzo físico;2,88
Mujeres;Total;Aragón;No aplicable;0,25
Mujeres;Total;Asturias (Principado de);TOTAL;100,00
Mujeres;Total;Asturias (Principado de);Sentado/a la mayor parte del día;34,22
Mujeres;Total;Asturias (Principado de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;51,19
Mujeres;Total;Asturias (Principado de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;14,08
Mujeres;Total;Asturias (Principado de);Realizando tareas que requieren gran esfuerzo físico;0,50
Mujeres;Total;Asturias (Principado de);No aplicable;0,00
Mujeres;Total;Balears (Illes);TOTAL;100,00
Mujeres;Total;Balears (Illes);Sentado/a la mayor parte del día;29,41
Mujeres;Total;Balears (Illes);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;50,07
Mujeres;Total;Balears (Illes);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;18,45
Mujeres;Total;Balears (Illes);Realizando tareas que requieren gran esfuerzo físico;1,22
Mujeres;Total;Balears (Illes);No aplicable;0,85
Mujeres;Total;Canarias;TOTAL;100,00
Mujeres;Total;Canarias;Sentado/a la mayor parte del día;32,82
Mujeres;Total;Canarias;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;49,72
Mujeres;Total;Canarias;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;16,00
Mujeres;Total;Canarias;Realizando tareas que requieren gran esfuerzo físico;1,45
Mujeres;Total;Canarias;No aplicable;0,00
Mujeres;Total;Cantabria;TOTAL;100,00
Mujeres;Total;Cantabria;Sentado/a la mayor parte del día;27,34
Mujeres;Total;Cantabria;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;60,82
Mujeres;Total;Cantabria;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;10,81
Mujeres;Total;Cantabria;Realizando tareas que requieren gran esfuerzo físico;0,65
Mujeres;Total;Cantabria;No aplicable;0,39
Mujeres;Total;Castilla y León;TOTAL;100,00
Mujeres;Total;Castilla y León;Sentado/a la mayor parte del día;37,11
Mujeres;Total;Castilla y León;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;46,95
Mujeres;Total;Castilla y León;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;12,75
Mujeres;Total;Castilla y León;Realizando tareas que requieren gran esfuerzo físico;0,92
Mujeres;Total;Castilla y León;No aplicable;2,26
Mujeres;Total;Castilla-La Mancha;TOTAL;100,00
Mujeres;Total;Castilla-La Mancha;Sentado/a la mayor parte del día;32,05
Mujeres;Total;Castilla-La Mancha;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;40,60
Mujeres;Total;Castilla-La Mancha;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;24,47
Mujeres;Total;Castilla-La Mancha;Realizando tareas que requieren gran esfuerzo físico;2,18
Mujeres;Total;Castilla-La Mancha;No aplicable;0,71
Mujeres;Total;Cataluña;TOTAL;100,00
Mujeres;Total;Cataluña;Sentado/a la mayor parte del día;40,58
Mujeres;Total;Cataluña;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;40,19
Mujeres;Total;Cataluña;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;14,23
Mujeres;Total;Cataluña;Realizando tareas que requieren gran esfuerzo físico;3,63
Mujeres;Total;Cataluña;No aplicable;1,38
Mujeres;Total;Comunitat Valenciana;TOTAL;100,00
Mujeres;Total;Comunitat Valenciana;Sentado/a la mayor parte del día;29,50
Mujeres;Total;Comunitat Valenciana;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;54,16
Mujeres;Total;Comunitat Valenciana;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;15,67
Mujeres;Total;Comunitat Valenciana;Realizando tareas que requieren gran esfuerzo físico;0,42
Mujeres;Total;Comunitat Valenciana;No aplicable;0,23
Mujeres;Total;Extremadura;TOTAL;100,00
Mujeres;Total;Extremadura;Sentado/a la mayor parte del día;32,97
Mujeres;Total;Extremadura;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;54,87
Mujeres;Total;Extremadura;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;10,35
Mujeres;Total;Extremadura;Realizando tareas que requieren gran esfuerzo físico;1,38
Mujeres;Total;Extremadura;No aplicable;0,43
Mujeres;Total;Galicia;TOTAL;100,00
Mujeres;Total;Galicia;Sentado/a la mayor parte del día;29,30
Mujeres;Total;Galicia;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;50,01
Mujeres;Total;Galicia;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;19,45
Mujeres;Total;Galicia;Realizando tareas que requieren gran esfuerzo físico;1,04
Mujeres;Total;Galicia;No aplicable;0,20
Mujeres;Total;Madrid (Comunidad de);TOTAL;100,00
Mujeres;Total;Madrid (Comunidad de);Sentado/a la mayor parte del día;44,35
Mujeres;Total;Madrid (Comunidad de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;40,25
Mujeres;Total;Madrid (Comunidad de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;11,52
Mujeres;Total;Madrid (Comunidad de);Realizando tareas que requieren gran esfuerzo físico;1,55
Mujeres;Total;Madrid (Comunidad de);No aplicable;2,34
Mujeres;Total;Murcia (Región de);TOTAL;100,00
Mujeres;Total;Murcia (Región de);Sentado/a la mayor parte del día;30,83
Mujeres;Total;Murcia (Región de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;30,58
Mujeres;Total;Murcia (Región de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;35,99
Mujeres;Total;Murcia (Región de);Realizando tareas que requieren gran esfuerzo físico;1,32
Mujeres;Total;Murcia (Región de);No aplicable;1,27
Mujeres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Sentado/a la mayor parte del día;35,25
Mujeres;Total;Navarra (Comunidad Foral de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;54,56
Mujeres;Total;Navarra (Comunidad Foral de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;9,47
Mujeres;Total;Navarra (Comunidad Foral de);Realizando tareas que requieren gran esfuerzo físico;0,71
Mujeres;Total;Navarra (Comunidad Foral de);No aplicable;0,00
Mujeres;Total;País Vasco;TOTAL;100,00
Mujeres;Total;País Vasco;Sentado/a la mayor parte del día;37,27
Mujeres;Total;País Vasco;De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;50,05
Mujeres;Total;País Vasco;Caminando,llevando algún peso, efectuando desplazamientos frecuentes;10,27
