Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Consumo de tabaco;Total
Ambos sexos;Total;País Vasco;Nunca ha fumado;48,80
Ambos sexos;Total;Rioja (La);TOTAL;100,00
Ambos sexos;Total;Rioja (La);Fumador diario;21,76
Ambos sexos;Total;Rioja (La);Fumador ocasional;4,07
Ambos sexos;Total;Rioja (La);Ex fumador;25,00
Ambos sexos;Total;Rioja (La);Nunca ha fumado;49,17
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Fumador diario;22,83
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Fumador ocasional;1,65
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Ex fumador;19,44
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Nunca ha fumado;56,09
Ambos sexos;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Fumador diario;15,34
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Fumador ocasional;4,71
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Ex fumador;14,75
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Nunca ha fumado;65,20
Hombres;Total;;TOTAL;100,00
Hombres;Total;;Fumador diario;27,57
Hombres;Total;;Fumador ocasional;2,86
Hombres;Total;;Ex fumador;32,21
Hombres;Total;;Nunca ha fumado;37,36
Hombres;Total;Andalucía;TOTAL;100,00
Hombres;Total;Andalucía;Fumador diario;28,97
Hombres;Total;Andalucía;Fumador ocasional;3,40
Hombres;Total;Andalucía;Ex fumador;30,19
Hombres;Total;Andalucía;Nunca ha fumado;37,43
Hombres;Total;Aragón;TOTAL;100,00
Hombres;Total;Aragón;Fumador diario;27,56
Hombres;Total;Aragón;Fumador ocasional;3,85
Hombres;Total;Aragón;Ex fumador;33,54
Hombres;Total;Aragón;Nunca ha fumado;35,05
Hombres;Total;Asturias (Principado de);TOTAL;100,00
Hombres;Total;Asturias (Principado de);Fumador diario;21,86
Hombres;Total;Asturias (Principado de);Fumador ocasional;1,17
Hombres;Total;Asturias (Principado de);Ex fumador;38,98
Hombres;Total;Asturias (Principado de);Nunca ha fumado;37,98
Hombres;Total;Balears (Illes);TOTAL;100,00
Hombres;Total;Balears (Illes);Fumador diario;29,31
Hombres;Total;Balears (Illes);Fumador ocasional;3,30
Hombres;Total;Balears (Illes);Ex fumador;28,97
Hombres;Total;Balears (Illes);Nunca ha fumado;38,42
Hombres;Total;Canarias;TOTAL;100,00
Hombres;Total;Canarias;Fumador diario;29,51
Hombres;Total;Canarias;Fumador ocasional;2,79
Hombres;Total;Canarias;Ex fumador;25,72
Hombres;Total;Canarias;Nunca ha fumado;41,98
Hombres;Total;Cantabria;TOTAL;100,00
Hombres;Total;Cantabria;Fumador diario;25,52
Hombres;Total;Cantabria;Fumador ocasional;3,93
Hombres;Total;Cantabria;Ex fumador;25,55
Hombres;Total;Cantabria;Nunca ha fumado;45,01
Hombres;Total;Castilla y León;TOTAL;100,00
Hombres;Total;Castilla y León;Fumador diario;25,77
Hombres;Total;Castilla y León;Fumador ocasional;2,48
Hombres;Total;Castilla y León;Ex fumador;34,90
Hombres;Total;Castilla y León;Nunca ha fumado;36,85
Hombres;Total;Castilla-La Mancha;TOTAL;100,00
Hombres;Total;Castilla-La Mancha;Fumador diario;28,18
Hombres;Total;Castilla-La Mancha;Fumador ocasional;1,70
Hombres;Total;Castilla-La Mancha;Ex fumador;31,58
Hombres;Total;Castilla-La Mancha;Nunca ha fumado;38,54
Hombres;Total;Cataluña;TOTAL;100,00
Hombres;Total;Cataluña;Fumador diario;29,76
Hombres;Total;Cataluña;Fumador ocasional;2,32
Hombres;Total;Cataluña;Ex fumador;33,50
Hombres;Total;Cataluña;Nunca ha fumado;34,42
Hombres;Total;Comunitat Valenciana;TOTAL;100,00
Hombres;Total;Comunitat Valenciana;Fumador diario;26,39
Hombres;Total;Comunitat Valenciana;Fumador ocasional;2,92
Hombres;Total;Comunitat Valenciana;Ex fumador;34,07
Hombres;Total;Comunitat Valenciana;Nunca ha fumado;36,61
Hombres;Total;Extremadura;TOTAL;100,00
Hombres;Total;Extremadura;Fumador diario;31,82
Hombres;Total;Extremadura;Fumador ocasional;3,43
Hombres;Total;Extremadura;Ex fumador;30,39
Hombres;Total;Extremadura;Nunca ha fumado;34,36
Hombres;Total;Galicia;TOTAL;100,00
Hombres;Total;Galicia;Fumador diario;23,74
Hombres;Total;Galicia;Fumador ocasional;2,26
Hombres;Total;Galicia;Ex fumador;36,38
Hombres;Total;Galicia;Nunca ha fumado;37,62
Hombres;Total;Madrid (Comunidad de);TOTAL;100,00
Hombres;Total;Madrid (Comunidad de);Fumador diario;25,54
Hombres;Total;Madrid (Comunidad de);Fumador ocasional;2,93
Hombres;Total;Madrid (Comunidad de);Ex fumador;33,11
Hombres;Total;Madrid (Comunidad de);Nunca ha fumado;38,42
Hombres;Total;Murcia (Región de);TOTAL;100,00
Hombres;Total;Murcia (Región de);Fumador diario;27,69
Hombres;Total;Murcia (Región de);Fumador ocasional;2,86
Hombres;Total;Murcia (Región de);Ex fumador;29,30
Hombres;Total;Murcia (Región de);Nunca ha fumado;40,15
Hombres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Hombres;Total;Navarra (Comunidad Foral de);Fumador diario;27,68
Hombres;Total;Navarra (Comunidad Foral de);Fumador ocasional;3,64
Hombres;Total;Navarra (Comunidad Foral de);Ex fumador;28,11
Hombres;Total;Navarra (Comunidad Foral de);Nunca ha fumado;40,57
Hombres;Total;País Vasco;TOTAL;100,00
Hombres;Total;País Vasco;Fumador diario;28,52
Hombres;Total;País Vasco;Fumador ocasional;3,75
Hombres;Total;País Vasco;Ex fumador;31,35
Hombres;Total;País Vasco;Nunca ha fumado;36,38
Hombres;Total;Rioja (La);TOTAL;100,00
Hombres;Total;Rioja (La);Fumador diario;25,71
Hombres;Total;Rioja (La);Fumador ocasional;3,61
Hombres;Total;Rioja (La);Ex fumador;32,04
Hombres;Total;Rioja (La);Nunca ha fumado;38,63
Hombres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Fumador diario;27,39
Hombres;Total;Ceuta (Ciudad Autónoma de);Fumador ocasional;1,37
Hombres;Total;Ceuta (Ciudad Autónoma de);Ex fumador;25,49
Hombres;Total;Ceuta (Ciudad Autónoma de);Nunca ha fumado;45,76
Hombres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Fumador diario;19,69
Hombres;Total;Melilla (Ciudad Autónoma de);Fumador ocasional;6,91
Hombres;Total;Melilla (Ciudad Autónoma de);Ex fumador;20,58
Hombres;Total;Melilla (Ciudad Autónoma de);Nunca ha fumado;52,82
Mujeres;Total;;TOTAL;100,00
Mujeres;Total;;Fumador diario;18,60
Mujeres;Total;;Fumador ocasional;1,90
Mujeres;Total;;Ex fumador;19,51
Mujeres;Total;;Nunca ha fumado;59,99
Mujeres;Total;Andalucía;TOTAL;100,00
Mujeres;Total;Andalucía;Fumador diario;19,93
Mujeres;Total;Andalucía;Fumador ocasional;2,71
Mujeres;Total;Andalucía;Ex fumador;18,88
Mujeres;Total;Andalucía;Nunca ha fumado;58,48
Mujeres;Total;Aragón;TOTAL;100,00
Mujeres;Total;Aragón;Fumador diario;20,40
Mujeres;Total;Aragón;Fumador ocasional;1,27
Mujeres;Total;Aragón;Ex fumador;22,30
Mujeres;Total;Aragón;Nunca ha fumado;56,03
Mujeres;Total;Asturias (Principado de);TOTAL;100,00
Mujeres;Total;Asturias (Principado de);Fumador diario;16,55
Mujeres;Total;Asturias (Principado de);Fumador ocasional;1,64
Mujeres;Total;Asturias (Principado de);Ex fumador;22,26
Mujeres;Total;Asturias (Principado de);Nunca ha fumado;59,55
Mujeres;Total;Balears (Illes);TOTAL;100,00
Mujeres;Total;Balears (Illes);Fumador diario;16,85
Mujeres;Total;Balears (Illes);Fumador ocasional;2,57
Mujeres;Total;Balears (Illes);Ex fumador;24,43
Mujeres;Total;Balears (Illes);Nunca ha fumado;56,15
Mujeres;Total;Canarias;TOTAL;100,00
Mujeres;Total;Canarias;Fumador diario;16,04
Mujeres;Total;Canarias;Fumador ocasional;1,54
Mujeres;Total;Canarias;Ex fumador;14,85
Mujeres;Total;Canarias;Nunca ha fumado;67,56
Mujeres;Total;Cantabria;TOTAL;100,00
Mujeres;Total;Cantabria;Fumador diario;17,52
Mujeres;Total;Cantabria;Fumador ocasional;1,45
Mujeres;Total;Cantabria;Ex fumador;19,31
Mujeres;Total;Cantabria;Nunca ha fumado;61,73
Mujeres;Total;Castilla y León;TOTAL;100,00
Mujeres;Total;Castilla y León;Fumador diario;17,53
Mujeres;Total;Castilla y León;Fumador ocasional;2,41
Mujeres;Total;Castilla y León;Ex fumador;18,80
Mujeres;Total;Castilla y León;Nunca ha fumado;61,26
Mujeres;Total;Castilla-La Mancha;TOTAL;100,00
Mujeres;Total;Castilla-La Mancha;Fumador diario;18,59
Mujeres;Total;Castilla-La Mancha;Fumador ocasional;1,18
Mujeres;Total;Castilla-La Mancha;Ex fumador;17,11
Mujeres;Total;Castilla-La Mancha;Nunca ha fumado;63,12
Mujeres;Total;Cataluña;TOTAL;100,00
Mujeres;Total;Cataluña;Fumador diario;17,83
Mujeres;Total;Cataluña;Fumador ocasional;1,92
Mujeres;Total;Cataluña;Ex fumador;21,00
Mujeres;Total;Cataluña;Nunca ha fumado;59,25
Mujeres;Total;Comunitat Valenciana;TOTAL;100,00
Mujeres;Total;Comunitat Valenciana;Fumador diario;17,70
Mujeres;Total;Comunitat Valenciana;Fumador ocasional;1,31
Mujeres;Total;Comunitat Valenciana;Ex fumador;22,64
Mujeres;Total;Comunitat Valenciana;Nunca ha fumado;58,35
Mujeres;Total;Extremadura;TOTAL;100,00
Mujeres;Total;Extremadura;Fumador diario;19,51
Mujeres;Total;Extremadura;Fumador ocasional;2,59
Mujeres;Total;Extremadura;Ex fumador;16,04
Mujeres;Total;Extremadura;Nunca ha fumado;61,86
Mujeres;Total;Galicia;TOTAL;100,00
Mujeres;Total;Galicia;Fumador diario;14,90
Mujeres;Total;Galicia;Fumador ocasional;0,94
Mujeres;Total;Galicia;Ex fumador;13,36
Mujeres;Total;Galicia;Nunca ha fumado;70,81
Mujeres;Total;Madrid (Comunidad de);TOTAL;100,00
Mujeres;Total;Madrid (Comunidad de);Fumador diario;21,11
Mujeres;Total;Madrid (Comunidad de);Fumador ocasional;1,43
Mujeres;Total;Madrid (Comunidad de);Ex fumador;21,26
Mujeres;Total;Madrid (Comunidad de);Nunca ha fumado;56,20
Mujeres;Total;Murcia (Región de);TOTAL;100,00
Mujeres;Total;Murcia (Región de);Fumador diario;23,45
Mujeres;Total;Murcia (Región de);Fumador ocasional;2,90
Mujeres;Total;Murcia (Región de);Ex fumador;13,96
Mujeres;Total;Murcia (Región de);Nunca ha fumado;59,69
Mujeres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Fumador diario;18,76
Mujeres;Total;Navarra (Comunidad Foral de);Fumador ocasional;2,35
Mujeres;Total;Navarra (Comunidad Foral de);Ex fumador;21,24
Mujeres;Total;Navarra (Comunidad Foral de);Nunca ha fumado;57,64
Mujeres;Total;País Vasco;TOTAL;100,00
Mujeres;Total;País Vasco;Fumador diario;17,37
Mujeres;Total;País Vasco;Fumador ocasional;1,93
Mujeres;Total;País Vasco;Ex fumador;20,32
Mujeres;Total;País Vasco;Nunca ha fumado;60,37
Mujeres;Total;Rioja (La);TOTAL;100,00
Mujeres;Total;Rioja (La);Fumador diario;17,93
Mujeres;Total;Rioja (La);Fumador ocasional;4,51
Mujeres;Total;Rioja (La);Ex fumador;18,19
Mujeres;Total;Rioja (La);Nunca ha fumado;59,37
Mujeres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Fumador diario;17,63
Mujeres;Total;Ceuta (Ciudad Autónoma de);Fumador ocasional;1,96
Mujeres;Total;Ceuta (Ciudad Autónoma de);Ex fumador;12,52
Mujeres;Total;Ceuta (Ciudad Autónoma de);Nunca ha fumado;67,88
Mujeres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Fumador diario;11,37
Mujeres;Total;Melilla (Ciudad Autónoma de);Fumador ocasional;2,71
Mujeres;Total;Melilla (Ciudad Autónoma de);Ex fumador;9,44
Mujeres;Total;Melilla (Ciudad Autónoma de);Nunca ha fumado;76,49
