Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Consumo bebidas alcohólicas;Total
Hombres;Total;Comunitat Valenciana;Sí ha consumido;79,19
Hombres;Total;Comunitat Valenciana;No ha consumido;20,81
Hombres;Total;Extremadura;Total;100,00
Hombres;Total;Extremadura;Sí ha consumido;81,83
Hombres;Total;Extremadura;No ha consumido;18,17
Hombres;Total;Galicia;Total;100,00
Hombres;Total;Galicia;Sí ha consumido;75,69
Hombres;Total;Galicia;No ha consumido;24,31
Hombres;Total;Madrid (Comunidad de);Total;100,00
Hombres;Total;Madrid (Comunidad de);Sí ha consumido;82,54
Hombres;Total;Madrid (Comunidad de);No ha consumido;17,46
Hombres;Total;Murcia (Región de);Total;100,00
Hombres;Total;Murcia (Región de);Sí ha consumido;71,71
Hombres;Total;Murcia (Región de);No ha consumido;28,29
Hombres;Total;Navarra (Comunidad Foral de);Total;100,00
Hombres;Total;Navarra (Comunidad Foral de);Sí ha consumido;80,08
Hombres;Total;Navarra (Comunidad Foral de);No ha consumido;19,92
Hombres;Total;País Vasco;Total;100,00
Hombres;Total;País Vasco;Sí ha consumido;78,23
Hombres;Total;País Vasco;No ha consumido;21,77
Hombres;Total;Rioja (La);Total;100,00
Hombres;Total;Rioja (La);Sí ha consumido;77,45
Hombres;Total;Rioja (La);No ha consumido;22,55
Hombres;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Sí ha consumido;33,33
Hombres;Total;Ceuta (Ciudad Autónoma de);No ha consumido;66,67
Hombres;Total;Melilla (Ciudad Autónoma de);Total;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Sí ha consumido;55,49
Hombres;Total;Melilla (Ciudad Autónoma de);No ha consumido;44,51
Mujeres;Total;;Total;100,00
Mujeres;Total;;Sí ha consumido;52,87
Mujeres;Total;;No ha consumido;47,13
Mujeres;Total;Andalucía;Total;100,00
Mujeres;Total;Andalucía;Sí ha consumido;47,72
Mujeres;Total;Andalucía;No ha consumido;52,28
Mujeres;Total;Aragón;Total;100,00
Mujeres;Total;Aragón;Sí ha consumido;50,02
Mujeres;Total;Aragón;No ha consumido;49,98
Mujeres;Total;Asturias (Principado de);Total;100,00
Mujeres;Total;Asturias (Principado de);Sí ha consumido;53,15
Mujeres;Total;Asturias (Principado de);No ha consumido;46,85
Mujeres;Total;Balears (Illes);Total;100,00
Mujeres;Total;Balears (Illes);Sí ha consumido;51,97
Mujeres;Total;Balears (Illes);No ha consumido;48,03
Mujeres;Total;Canarias;Total;100,00
Mujeres;Total;Canarias;Sí ha consumido;47,03
Mujeres;Total;Canarias;No ha consumido;52,97
Mujeres;Total;Cantabria;Total;100,00
Mujeres;Total;Cantabria;Sí ha consumido;38,41
Mujeres;Total;Cantabria;No ha consumido;61,59
Mujeres;Total;Castilla y León;Total;100,00
Mujeres;Total;Castilla y León;Sí ha consumido;38,89
Mujeres;Total;Castilla y León;No ha consumido;61,11
Mujeres;Total;Castilla-La Mancha;Total;100,00
Mujeres;Total;Castilla-La Mancha;Sí ha consumido;45,82
Mujeres;Total;Castilla-La Mancha;No ha consumido;54,18
Mujeres;Total;Cataluña;Total;100,00
Mujeres;Total;Cataluña;Sí ha consumido;60,45
Mujeres;Total;Cataluña;No ha consumido;39,55
Mujeres;Total;Comunitat Valenciana;Total;100,00
Mujeres;Total;Comunitat Valenciana;Sí ha consumido;58,39
Mujeres;Total;Comunitat Valenciana;No ha consumido;41,61
Mujeres;Total;Extremadura;Total;100,00
Mujeres;Total;Extremadura;Sí ha consumido;47,79
Mujeres;Total;Extremadura;No ha consumido;52,21
Mujeres;Total;Galicia;Total;100,00
Mujeres;Total;Galicia;Sí ha consumido;47,85
Mujeres;Total;Galicia;No ha consumido;52,15
Mujeres;Total;Madrid (Comunidad de);Total;100,00
Mujeres;Total;Madrid (Comunidad de);Sí ha consumido;60,09
Mujeres;Total;Madrid (Comunidad de);No ha consumido;39,91
Mujeres;Total;Murcia (Región de);Total;100,00
Mujeres;Total;Murcia (Región de);Sí ha consumido;56,44
Mujeres;Total;Murcia (Región de);No ha consumido;43,56
Mujeres;Total;Navarra (Comunidad Foral de);Total;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Sí ha consumido;52,97
Mujeres;Total;Navarra (Comunidad Foral de);No ha consumido;47,03
Mujeres;Total;País Vasco;Total;100,00
Mujeres;Total;País Vasco;Sí ha consumido;55,82
Mujeres;Total;País Vasco;No ha consumido;44,18
Mujeres;Total;Rioja (La);Total;100,00
Mujeres;Total;Rioja (La);Sí ha consumido;55,19
Mujeres;Total;Rioja (La);No ha consumido;44,81
Mujeres;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Sí ha consumido;33,81
Mujeres;Total;Ceuta (Ciudad Autónoma de);No ha consumido;66,19
Mujeres;Total;Melilla (Ciudad Autónoma de);Total;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Sí ha consumido;34,99
Mujeres;Total;Melilla (Ciudad Autónoma de);No ha consumido;65,01
