Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Si o no;Total
Hombres;Total;Murcia (Región de);Sí;49,43
Hombres;Total;Murcia (Región de);No;50,57
Hombres;Total;Navarra (Comunidad Foral de);Total;100,00
Hombres;Total;Navarra (Comunidad Foral de);Sí;44,49
Hombres;Total;Navarra (Comunidad Foral de);No;55,51
Hombres;Total;País Vasco;Total;100,00
Hombres;Total;País Vasco;Sí;52,47
Hombres;Total;País Vasco;No;47,53
Hombres;Total;Rioja (La);Total;100,00
Hombres;Total;Rioja (La);Sí;36,15
Hombres;Total;Rioja (La);No;63,85
Hombres;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Sí;42,54
Hombres;Total;Ceuta (Ciudad Autónoma de);No;57,46
Hombres;Total;Melilla (Ciudad Autónoma de);Total;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Sí;49,68
Hombres;Total;Melilla (Ciudad Autónoma de);No;50,32
Mujeres;Total;;Total;100,00
Mujeres;Total;;Sí;55,84
Mujeres;Total;;No;44,16
Mujeres;Total;Andalucía;Total;100,00
Mujeres;Total;Andalucía;Sí;57,31
Mujeres;Total;Andalucía;No;42,69
Mujeres;Total;Aragón;Total;100,00
Mujeres;Total;Aragón;Sí;54,04
Mujeres;Total;Aragón;No;45,96
Mujeres;Total;Asturias (Principado de);Total;100,00
Mujeres;Total;Asturias (Principado de);Sí;52,14
Mujeres;Total;Asturias (Principado de);No;47,86
Mujeres;Total;Balears (Illes);Total;100,00
Mujeres;Total;Balears (Illes);Sí;45,55
Mujeres;Total;Balears (Illes);No;54,45
Mujeres;Total;Canarias;Total;100,00
Mujeres;Total;Canarias;Sí;58,47
Mujeres;Total;Canarias;No;41,53
Mujeres;Total;Cantabria;Total;100,00
Mujeres;Total;Cantabria;Sí;50,67
Mujeres;Total;Cantabria;No;49,33
Mujeres;Total;Castilla y León;Total;100,00
Mujeres;Total;Castilla y León;Sí;57,18
Mujeres;Total;Castilla y León;No;42,82
Mujeres;Total;Castilla-La Mancha;Total;100,00
Mujeres;Total;Castilla-La Mancha;Sí;56,86
Mujeres;Total;Castilla-La Mancha;No;43,14
Mujeres;Total;Cataluña;Total;100,00
Mujeres;Total;Cataluña;Sí;51,85
Mujeres;Total;Cataluña;No;48,15
Mujeres;Total;Comunitat Valenciana;Total;100,00
Mujeres;Total;Comunitat Valenciana;Sí;53,38
Mujeres;Total;Comunitat Valenciana;No;46,62
Mujeres;Total;Extremadura;Total;100,00
Mujeres;Total;Extremadura;Sí;63,43
Mujeres;Total;Extremadura;No;36,57
Mujeres;Total;Galicia;Total;100,00
Mujeres;Total;Galicia;Sí;66,42
Mujeres;Total;Galicia;No;33,58
Mujeres;Total;Madrid (Comunidad de);Total;100,00
Mujeres;Total;Madrid (Comunidad de);Sí;53,57
Mujeres;Total;Madrid (Comunidad de);No;46,43
Mujeres;Total;Murcia (Región de);Total;100,00
Mujeres;Total;Murcia (Región de);Sí;66,29
Mujeres;Total;Murcia (Región de);No;33,71
Mujeres;Total;Navarra (Comunidad Foral de);Total;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Sí;49,32
Mujeres;Total;Navarra (Comunidad Foral de);No;50,68
Mujeres;Total;País Vasco;Total;100,00
Mujeres;Total;País Vasco;Sí;59,65
Mujeres;Total;País Vasco;No;40,35
Mujeres;Total;Rioja (La);Total;100,00
Mujeres;Total;Rioja (La);Sí;44,14
Mujeres;Total;Rioja (La);No;55,86
Mujeres;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Sí;51,01
Mujeres;Total;Ceuta (Ciudad Autónoma de);No;48,99
Mujeres;Total;Melilla (Ciudad Autónoma de);Total;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Sí;48,13
Mujeres;Total;Melilla (Ciudad Autónoma de);No;51,87
