Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Consumo de tabaco;Total
Hombres;Total;Asturias (Principado de);Fumador ocasional;2,39
Hombres;Total;Asturias (Principado de);Ex fumador;39,14
Hombres;Total;Asturias (Principado de);Nunca ha fumado;36,12
Hombres;Total;Balears (Illes);TOTAL;100,00
Hombres;Total;Balears (Illes);Fumador diario;24,55
Hombres;Total;Balears (Illes);Fumador ocasional;3,57
Hombres;Total;Balears (Illes);Ex fumador;29,76
Hombres;Total;Balears (Illes);Nunca ha fumado;42,13
Hombres;Total;Canarias;TOTAL;100,00
Hombres;Total;Canarias;Fumador diario;24,46
Hombres;Total;Canarias;Fumador ocasional;1,33
Hombres;Total;Canarias;Ex fumador;21,93
Hombres;Total;Canarias;Nunca ha fumado;52,28
Hombres;Total;Cantabria;TOTAL;100,00
Hombres;Total;Cantabria;Fumador diario;20,21
Hombres;Total;Cantabria;Fumador ocasional;1,56
Hombres;Total;Cantabria;Ex fumador;28,11
Hombres;Total;Cantabria;Nunca ha fumado;50,12
Hombres;Total;Castilla y León;TOTAL;100,00
Hombres;Total;Castilla y León;Fumador diario;22,92
Hombres;Total;Castilla y León;Fumador ocasional;2,28
Hombres;Total;Castilla y León;Ex fumador;26,75
Hombres;Total;Castilla y León;Nunca ha fumado;48,05
Hombres;Total;Castilla-La Mancha;TOTAL;100,00
Hombres;Total;Castilla-La Mancha;Fumador diario;24,20
Hombres;Total;Castilla-La Mancha;Fumador ocasional;2,63
Hombres;Total;Castilla-La Mancha;Ex fumador;26,08
Hombres;Total;Castilla-La Mancha;Nunca ha fumado;47,10
Hombres;Total;Cataluña;TOTAL;100,00
Hombres;Total;Cataluña;Fumador diario;23,96
Hombres;Total;Cataluña;Fumador ocasional;3,03
Hombres;Total;Cataluña;Ex fumador;27,52
Hombres;Total;Cataluña;Nunca ha fumado;45,49
Hombres;Total;Comunitat Valenciana;TOTAL;100,00
Hombres;Total;Comunitat Valenciana;Fumador diario;23,64
Hombres;Total;Comunitat Valenciana;Fumador ocasional;2,46
Hombres;Total;Comunitat Valenciana;Ex fumador;33,77
Hombres;Total;Comunitat Valenciana;Nunca ha fumado;40,13
Hombres;Total;Extremadura;TOTAL;100,00
Hombres;Total;Extremadura;Fumador diario;32,21
Hombres;Total;Extremadura;Fumador ocasional;2,77
Hombres;Total;Extremadura;Ex fumador;29,72
Hombres;Total;Extremadura;Nunca ha fumado;35,30
Hombres;Total;Galicia;TOTAL;100,00
Hombres;Total;Galicia;Fumador diario;20,93
Hombres;Total;Galicia;Fumador ocasional;2,80
Hombres;Total;Galicia;Ex fumador;23,37
Hombres;Total;Galicia;Nunca ha fumado;52,90
Hombres;Total;Madrid (Comunidad de);TOTAL;100,00
Hombres;Total;Madrid (Comunidad de);Fumador diario;21,02
Hombres;Total;Madrid (Comunidad de);Fumador ocasional;2,37
Hombres;Total;Madrid (Comunidad de);Ex fumador;30,45
Hombres;Total;Madrid (Comunidad de);Nunca ha fumado;46,16
Hombres;Total;Murcia (Región de);TOTAL;100,00
Hombres;Total;Murcia (Región de);Fumador diario;28,92
Hombres;Total;Murcia (Región de);Fumador ocasional;3,62
Hombres;Total;Murcia (Región de);Ex fumador;27,93
Hombres;Total;Murcia (Región de);Nunca ha fumado;39,53
Hombres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Hombres;Total;Navarra (Comunidad Foral de);Fumador diario;19,62
Hombres;Total;Navarra (Comunidad Foral de);Fumador ocasional;5,40
Hombres;Total;Navarra (Comunidad Foral de);Ex fumador;31,64
Hombres;Total;Navarra (Comunidad Foral de);Nunca ha fumado;43,34
Hombres;Total;País Vasco;TOTAL;100,00
Hombres;Total;País Vasco;Fumador diario;19,45
Hombres;Total;País Vasco;Fumador ocasional;1,74
Hombres;Total;País Vasco;Ex fumador;32,35
Hombres;Total;País Vasco;Nunca ha fumado;46,46
Hombres;Total;Rioja (La);TOTAL;100,00
Hombres;Total;Rioja (La);Fumador diario;20,68
Hombres;Total;Rioja (La);Fumador ocasional;4,30
Hombres;Total;Rioja (La);Ex fumador;33,68
Hombres;Total;Rioja (La);Nunca ha fumado;41,35
Hombres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Fumador diario;20,19
Hombres;Total;Ceuta (Ciudad Autónoma de);Fumador ocasional;1,46
Hombres;Total;Ceuta (Ciudad Autónoma de);Ex fumador;18,78
Hombres;Total;Ceuta (Ciudad Autónoma de);Nunca ha fumado;59,56
Hombres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Fumador diario;21,35
Hombres;Total;Melilla (Ciudad Autónoma de);Fumador ocasional;2,07
Hombres;Total;Melilla (Ciudad Autónoma de);Ex fumador;8,53
Hombres;Total;Melilla (Ciudad Autónoma de);Nunca ha fumado;68,05
Mujeres;Total;;TOTAL;100,00
Mujeres;Total;;Fumador diario;16,44
Mujeres;Total;;Fumador ocasional;2,05
Mujeres;Total;;Ex fumador;16,70
Mujeres;Total;;Nunca ha fumado;64,81
Mujeres;Total;Andalucía;TOTAL;100,00
Mujeres;Total;Andalucía;Fumador diario;18,10
Mujeres;Total;Andalucía;Fumador ocasional;2,91
Mujeres;Total;Andalucía;Ex fumador;11,58
Mujeres;Total;Andalucía;Nunca ha fumado;67,40
Mujeres;Total;Aragón;TOTAL;100,00
Mujeres;Total;Aragón;Fumador diario;11,25
Mujeres;Total;Aragón;Fumador ocasional;3,78
Mujeres;Total;Aragón;Ex fumador;12,82
Mujeres;Total;Aragón;Nunca ha fumado;72,16
Mujeres;Total;Asturias (Principado de);TOTAL;100,00
Mujeres;Total;Asturias (Principado de);Fumador diario;16,42
Mujeres;Total;Asturias (Principado de);Fumador ocasional;1,51
Mujeres;Total;Asturias (Principado de);Ex fumador;24,20
Mujeres;Total;Asturias (Principado de);Nunca ha fumado;57,87
Mujeres;Total;Balears (Illes);TOTAL;100,00
Mujeres;Total;Balears (Illes);Fumador diario;16,63
Mujeres;Total;Balears (Illes);Fumador ocasional;2,66
Mujeres;Total;Balears (Illes);Ex fumador;18,15
Mujeres;Total;Balears (Illes);Nunca ha fumado;62,56
Mujeres;Total;Canarias;TOTAL;100,00
Mujeres;Total;Canarias;Fumador diario;17,04
Mujeres;Total;Canarias;Fumador ocasional;1,20
Mujeres;Total;Canarias;Ex fumador;14,78
Mujeres;Total;Canarias;Nunca ha fumado;66,98
Mujeres;Total;Cantabria;TOTAL;100,00
Mujeres;Total;Cantabria;Fumador diario;17,62
Mujeres;Total;Cantabria;Fumador ocasional;0,23
Mujeres;Total;Cantabria;Ex fumador;17,55
Mujeres;Total;Cantabria;Nunca ha fumado;64,60
Mujeres;Total;Castilla y León;TOTAL;100,00
Mujeres;Total;Castilla y León;Fumador diario;15,18
Mujeres;Total;Castilla y León;Fumador ocasional;1,89
Mujeres;Total;Castilla y León;Ex fumador;19,39
Mujeres;Total;Castilla y León;Nunca ha fumado;63,54
Mujeres;Total;Castilla-La Mancha;TOTAL;100,00
Mujeres;Total;Castilla-La Mancha;Fumador diario;16,99
Mujeres;Total;Castilla-La Mancha;Fumador ocasional;1,09
Mujeres;Total;Castilla-La Mancha;Ex fumador;13,78
Mujeres;Total;Castilla-La Mancha;Nunca ha fumado;68,14
Mujeres;Total;Cataluña;TOTAL;100,00
Mujeres;Total;Cataluña;Fumador diario;18,03
Mujeres;Total;Cataluña;Fumador ocasional;2,58
Mujeres;Total;Cataluña;Ex fumador;17,48
Mujeres;Total;Cataluña;Nunca ha fumado;61,92
Mujeres;Total;Comunitat Valenciana;TOTAL;100,00
Mujeres;Total;Comunitat Valenciana;Fumador diario;16,28
Mujeres;Total;Comunitat Valenciana;Fumador ocasional;1,83
Mujeres;Total;Comunitat Valenciana;Ex fumador;18,61
Mujeres;Total;Comunitat Valenciana;Nunca ha fumado;63,29
Mujeres;Total;Extremadura;TOTAL;100,00
Mujeres;Total;Extremadura;Fumador diario;18,59
Mujeres;Total;Extremadura;Fumador ocasional;1,36
Mujeres;Total;Extremadura;Ex fumador;18,77
Mujeres;Total;Extremadura;Nunca ha fumado;61,28
Mujeres;Total;Galicia;TOTAL;100,00
Mujeres;Total;Galicia;Fumador diario;14,78
Mujeres;Total;Galicia;Fumador ocasional;1,91
Mujeres;Total;Galicia;Ex fumador;10,64
Mujeres;Total;Galicia;Nunca ha fumado;72,66
Mujeres;Total;Madrid (Comunidad de);TOTAL;100,00
Mujeres;Total;Madrid (Comunidad de);Fumador diario;14,79
Mujeres;Total;Madrid (Comunidad de);Fumador ocasional;1,18
Mujeres;Total;Madrid (Comunidad de);Ex fumador;19,64
Mujeres;Total;Madrid (Comunidad de);Nunca ha fumado;64,39
Mujeres;Total;Murcia (Región de);TOTAL;100,00
Mujeres;Total;Murcia (Región de);Fumador diario;18,46
Mujeres;Total;Murcia (Región de);Fumador ocasional;2,34
Mujeres;Total;Murcia (Región de);Ex fumador;18,51
Mujeres;Total;Murcia (Región de);Nunca ha fumado;60,69
Mujeres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Fumador diario;16,76
Mujeres;Total;Navarra (Comunidad Foral de);Fumador ocasional;2,53
Mujeres;Total;Navarra (Comunidad Foral de);Ex fumador;21,87
Mujeres;Total;Navarra (Comunidad Foral de);Nunca ha fumado;58,84
Mujeres;Total;País Vasco;TOTAL;100,00
Mujeres;Total;País Vasco;Fumador diario;12,98
Mujeres;Total;País Vasco;Fumador ocasional;1,59
Mujeres;Total;País Vasco;Ex fumador;23,05
Mujeres;Total;País Vasco;Nunca ha fumado;62,38
Mujeres;Total;Rioja (La);TOTAL;100,00
Mujeres;Total;Rioja (La);Fumador diario;16,87
Mujeres;Total;Rioja (La);Fumador ocasional;3,56
Mujeres;Total;Rioja (La);Ex fumador;23,28
Mujeres;Total;Rioja (La);Nunca ha fumado;56,30
Mujeres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Fumador diario;19,98
Mujeres;Total;Ceuta (Ciudad Autónoma de);Fumador ocasional;0,21
Mujeres;Total;Ceuta (Ciudad Autónoma de);Ex fumador;6,16
Mujeres;Total;Ceuta (Ciudad Autónoma de);Nunca ha fumado;73,65
Mujeres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Fumador diario;9,08
Mujeres;Total;Melilla (Ciudad Autónoma de);Fumador ocasional;0,16
Mujeres;Total;Melilla (Ciudad Autónoma de);Ex fumador;4,83
Mujeres;Total;Melilla (Ciudad Autónoma de);Nunca ha fumado;85,93
