Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Estado de salud;Total
Hombres;Total;;Total;100,00
Hombres;Total;;Muy bueno;21,40
Hombres;Total;;Bueno;54,39
Hombres;Total;;Regular;17,72
Hombres;Total;;Malo;5,01
Hombres;Total;;Muy malo;1,48
Hombres;Total;Andalucía;Total;100,00
Hombres;Total;Andalucía;Muy bueno;20,73
Hombres;Total;Andalucía;Bueno;55,63
Hombres;Total;Andalucía;Regular;17,66
Hombres;Total;Andalucía;Malo;4,36
Hombres;Total;Andalucía;Muy malo;1,62
Hombres;Total;Aragón;Total;100,00
Hombres;Total;Aragón;Muy bueno;27,04
Hombres;Total;Aragón;Bueno;48,24
Hombres;Total;Aragón;Regular;20,40
Hombres;Total;Aragón;Malo;4,17
Hombres;Total;Aragón;Muy malo;0,14
Hombres;Total;Asturias (Principado de);Total;100,00
Hombres;Total;Asturias (Principado de);Muy bueno;11,29
Hombres;Total;Asturias (Principado de);Bueno;60,81
Hombres;Total;Asturias (Principado de);Regular;21,68
Hombres;Total;Asturias (Principado de);Malo;4,18
Hombres;Total;Asturias (Principado de);Muy malo;2,04
Hombres;Total;Balears (Illes);Total;100,00
Hombres;Total;Balears (Illes);Muy bueno;17,35
Hombres;Total;Balears (Illes);Bueno;64,24
Hombres;Total;Balears (Illes);Regular;15,20
Hombres;Total;Balears (Illes);Malo;2,57
Hombres;Total;Balears (Illes);Muy malo;0,64
Hombres;Total;Canarias;Total;100,00
Hombres;Total;Canarias;Muy bueno;21,50
Hombres;Total;Canarias;Bueno;50,83
Hombres;Total;Canarias;Regular;18,13
Hombres;Total;Canarias;Malo;7,44
Hombres;Total;Canarias;Muy malo;2,10
Hombres;Total;Cantabria;Total;100,00
Hombres;Total;Cantabria;Muy bueno;35,35
Hombres;Total;Cantabria;Bueno;41,96
Hombres;Total;Cantabria;Regular;16,19
Hombres;Total;Cantabria;Malo;5,05
Hombres;Total;Cantabria;Muy malo;1,44
Hombres;Total;Castilla y León;Total;100,00
Hombres;Total;Castilla y León;Muy bueno;28,29
Hombres;Total;Castilla y León;Bueno;50,35
Hombres;Total;Castilla y León;Regular;16,26
Hombres;Total;Castilla y León;Malo;4,56
Hombres;Total;Castilla y León;Muy malo;0,54
Hombres;Total;Castilla-La Mancha;Total;100,00
Hombres;Total;Castilla-La Mancha;Muy bueno;19,38
Hombres;Total;Castilla-La Mancha;Bueno;58,58
Hombres;Total;Castilla-La Mancha;Regular;17,52
Hombres;Total;Castilla-La Mancha;Malo;3,92
Hombres;Total;Castilla-La Mancha;Muy malo;0,59
Hombres;Total;Cataluña;Total;100,00
Hombres;Total;Cataluña;Muy bueno;26,69
Hombres;Total;Cataluña;Bueno;51,63
Hombres;Total;Cataluña;Regular;14,59
Hombres;Total;Cataluña;Malo;5,77
Hombres;Total;Cataluña;Muy malo;1,32
Hombres;Total;Comunitat Valenciana;Total;100,00
Hombres;Total;Comunitat Valenciana;Muy bueno;19,12
Hombres;Total;Comunitat Valenciana;Bueno;54,65
Hombres;Total;Comunitat Valenciana;Regular;19,25
Hombres;Total;Comunitat Valenciana;Malo;5,42
Hombres;Total;Comunitat Valenciana;Muy malo;1,56
Hombres;Total;Extremadura;Total;100,00
Hombres;Total;Extremadura;Muy bueno;16,03
Hombres;Total;Extremadura;Bueno;53,85
Hombres;Total;Extremadura;Regular;21,31
Hombres;Total;Extremadura;Malo;7,34
Hombres;Total;Extremadura;Muy malo;1,47
Hombres;Total;Galicia;Total;100,00
Hombres;Total;Galicia;Muy bueno;9,77
Hombres;Total;Galicia;Bueno;56,75
Hombres;Total;Galicia;Regular;24,11
Hombres;Total;Galicia;Malo;7,87
Hombres;Total;Galicia;Muy malo;1,50
Hombres;Total;Madrid (Comunidad de);Total;100,00
Hombres;Total;Madrid (Comunidad de);Muy bueno;20,62
Hombres;Total;Madrid (Comunidad de);Bueno;57,70
Hombres;Total;Madrid (Comunidad de);Regular;16,43
Hombres;Total;Madrid (Comunidad de);Malo;3,57
Hombres;Total;Madrid (Comunidad de);Muy malo;1,67
Hombres;Total;Murcia (Región de);Total;100,00
Hombres;Total;Murcia (Región de);Muy bueno;28,50
Hombres;Total;Murcia (Región de);Bueno;45,40
Hombres;Total;Murcia (Región de);Regular;20,03
Hombres;Total;Murcia (Región de);Malo;3,37
Hombres;Total;Murcia (Región de);Muy malo;2,70
Hombres;Total;Navarra (Comunidad Foral de);Total;100,00
Hombres;Total;Navarra (Comunidad Foral de);Muy bueno;12,93
Hombres;Total;Navarra (Comunidad Foral de);Bueno;67,43
Hombres;Total;Navarra (Comunidad Foral de);Regular;14,84
Hombres;Total;Navarra (Comunidad Foral de);Malo;4,30
Hombres;Total;Navarra (Comunidad Foral de);Muy malo;0,50
Hombres;Total;País Vasco;Total;100,00
Hombres;Total;País Vasco;Muy bueno;21,76
Hombres;Total;País Vasco;Bueno;51,83
Hombres;Total;País Vasco;Regular;17,63
Hombres;Total;País Vasco;Malo;6,10
Hombres;Total;País Vasco;Muy malo;2,68
Hombres;Total;Rioja (La);Total;100,00
Hombres;Total;Rioja (La);Muy bueno;18,91
Hombres;Total;Rioja (La);Bueno;58,56
Hombres;Total;Rioja (La);Regular;17,18
Hombres;Total;Rioja (La);Malo;4,51
Hombres;Total;Rioja (La);Muy malo;0,84
Hombres;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Muy bueno;49,96
Hombres;Total;Ceuta (Ciudad Autónoma de);Bueno;33,59
Hombres;Total;Ceuta (Ciudad Autónoma de);Regular;14,41
Hombres;Total;Ceuta (Ciudad Autónoma de);Malo;1,31
Hombres;Total;Ceuta (Ciudad Autónoma de);Muy malo;0,73
Hombres;Total;Melilla (Ciudad Autónoma de);Total;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Muy bueno;24,13
Hombres;Total;Melilla (Ciudad Autónoma de);Bueno;58,69
Hombres;Total;Melilla (Ciudad Autónoma de);Regular;13,41
Hombres;Total;Melilla (Ciudad Autónoma de);Malo;3,78
Hombres;Total;Melilla (Ciudad Autónoma de);Muy malo;0,00
Mujeres;Total;;Total;100,00
Mujeres;Total;;Muy bueno;17,02
Mujeres;Total;;Bueno;49,09
Mujeres;Total;;Regular;22,75
Mujeres;Total;;Malo;7,99
Mujeres;Total;;Muy malo;3,14
Mujeres;Total;Andalucía;Total;100,00
Mujeres;Total;Andalucía;Muy bueno;17,55
Mujeres;Total;Andalucía;Bueno;48,78
Mujeres;Total;Andalucía;Regular;22,58
Mujeres;Total;Andalucía;Malo;7,58
Mujeres;Total;Andalucía;Muy malo;3,51
Mujeres;Total;Aragón;Total;100,00
Mujeres;Total;Aragón;Muy bueno;16,51
Mujeres;Total;Aragón;Bueno;47,19
Mujeres;Total;Aragón;Regular;27,78
Mujeres;Total;Aragón;Malo;6,33
Mujeres;Total;Aragón;Muy malo;2,20
Mujeres;Total;Asturias (Principado de);Total;100,00
Mujeres;Total;Asturias (Principado de);Muy bueno;9,67
Mujeres;Total;Asturias (Principado de);Bueno;54,28
Mujeres;Total;Asturias (Principado de);Regular;22,37
Mujeres;Total;Asturias (Principado de);Malo;9,75
Mujeres;Total;Asturias (Principado de);Muy malo;3,94
Mujeres;Total;Balears (Illes);Total;100,00
Mujeres;Total;Balears (Illes);Muy bueno;10,94
Mujeres;Total;Balears (Illes);Bueno;62,51
Mujeres;Total;Balears (Illes);Regular;19,86
Mujeres;Total;Balears (Illes);Malo;5,23
Mujeres;Total;Balears (Illes);Muy malo;1,45
Mujeres;Total;Canarias;Total;100,00
Mujeres;Total;Canarias;Muy bueno;17,83
Mujeres;Total;Canarias;Bueno;48,42
Mujeres;Total;Canarias;Regular;24,33
Mujeres;Total;Canarias;Malo;7,61
Mujeres;Total;Canarias;Muy malo;1,82
Mujeres;Total;Cantabria;Total;100,00
Mujeres;Total;Cantabria;Muy bueno;22,92
Mujeres;Total;Cantabria;Bueno;44,33
Mujeres;Total;Cantabria;Regular;23,11
Mujeres;Total;Cantabria;Malo;8,22
Mujeres;Total;Cantabria;Muy malo;1,41
Mujeres;Total;Castilla y León;Total;100,00
Mujeres;Total;Castilla y León;Muy bueno;23,95
Mujeres;Total;Castilla y León;Bueno;42,35
Mujeres;Total;Castilla y León;Regular;22,49
Mujeres;Total;Castilla y León;Malo;10,22
Mujeres;Total;Castilla y León;Muy malo;1,01
Mujeres;Total;Castilla-La Mancha;Total;100,00
Mujeres;Total;Castilla-La Mancha;Muy bueno;15,60
Mujeres;Total;Castilla-La Mancha;Bueno;48,93
Mujeres;Total;Castilla-La Mancha;Regular;21,51
Mujeres;Total;Castilla-La Mancha;Malo;10,41
Mujeres;Total;Castilla-La Mancha;Muy malo;3,54
Mujeres;Total;Cataluña;Total;100,00
Mujeres;Total;Cataluña;Muy bueno;21,92
Mujeres;Total;Cataluña;Bueno;48,41
Mujeres;Total;Cataluña;Regular;20,52
Mujeres;Total;Cataluña;Malo;5,55
Mujeres;Total;Cataluña;Muy malo;3,61
Mujeres;Total;Comunitat Valenciana;Total;100,00
Mujeres;Total;Comunitat Valenciana;Muy bueno;14,56
Mujeres;Total;Comunitat Valenciana;Bueno;52,66
Mujeres;Total;Comunitat Valenciana;Regular;20,69
Mujeres;Total;Comunitat Valenciana;Malo;8,02
Mujeres;Total;Comunitat Valenciana;Muy malo;4,07
Mujeres;Total;Extremadura;Total;100,00
Mujeres;Total;Extremadura;Muy bueno;13,92
Mujeres;Total;Extremadura;Bueno;42,27
Mujeres;Total;Extremadura;Regular;29,98
Mujeres;Total;Extremadura;Malo;11,40
Mujeres;Total;Extremadura;Muy malo;2,42
Mujeres;Total;Galicia;Total;100,00
Mujeres;Total;Galicia;Muy bueno;12,11
Mujeres;Total;Galicia;Bueno;43,60
Mujeres;Total;Galicia;Regular;26,04
Mujeres;Total;Galicia;Malo;13,19
Mujeres;Total;Galicia;Muy malo;5,07
Mujeres;Total;Madrid (Comunidad de);Total;100,00
Mujeres;Total;Madrid (Comunidad de);Muy bueno;14,63
Mujeres;Total;Madrid (Comunidad de);Bueno;51,07
Mujeres;Total;Madrid (Comunidad de);Regular;25,14
Mujeres;Total;Madrid (Comunidad de);Malo;6,78
Mujeres;Total;Madrid (Comunidad de);Muy malo;2,37
Mujeres;Total;Murcia (Región de);Total;100,00
Mujeres;Total;Murcia (Región de);Muy bueno;15,87
Mujeres;Total;Murcia (Región de);Bueno;45,50
Mujeres;Total;Murcia (Región de);Regular;22,12
Mujeres;Total;Murcia (Región de);Malo;10,29
Mujeres;Total;Murcia (Región de);Muy malo;6,22
Mujeres;Total;Navarra (Comunidad Foral de);Total;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Muy bueno;14,88
Mujeres;Total;Navarra (Comunidad Foral de);Bueno;58,07
Mujeres;Total;Navarra (Comunidad Foral de);Regular;18,27
Mujeres;Total;Navarra (Comunidad Foral de);Malo;7,90
Mujeres;Total;Navarra (Comunidad Foral de);Muy malo;0,88
Mujeres;Total;País Vasco;Total;100,00
Mujeres;Total;País Vasco;Muy bueno;18,21
Mujeres;Total;País Vasco;Bueno;50,13
Mujeres;Total;País Vasco;Regular;21,51
Mujeres;Total;País Vasco;Malo;8,24
Mujeres;Total;País Vasco;Muy malo;1,91
Mujeres;Total;Rioja (La);Total;100,00
Mujeres;Total;Rioja (La);Muy bueno;17,95
Mujeres;Total;Rioja (La);Bueno;55,33
Mujeres;Total;Rioja (La);Regular;17,49
Mujeres;Total;Rioja (La);Malo;7,18
Mujeres;Total;Rioja (La);Muy malo;2,06
Mujeres;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Muy bueno;30,65
Mujeres;Total;Ceuta (Ciudad Autónoma de);Bueno;38,92
Mujeres;Total;Ceuta (Ciudad Autónoma de);Regular;19,87
Mujeres;Total;Ceuta (Ciudad Autónoma de);Malo;5,65
Mujeres;Total;Ceuta (Ciudad Autónoma de);Muy malo;4,91
Mujeres;Total;Melilla (Ciudad Autónoma de);Total;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Muy bueno;12,12
Mujeres;Total;Melilla (Ciudad Autónoma de);Bueno;60,27
Mujeres;Total;Melilla (Ciudad Autónoma de);Regular;20,40
Mujeres;Total;Melilla (Ciudad Autónoma de);Malo;5,50
Mujeres;Total;Melilla (Ciudad Autónoma de);Muy malo;1,71
