Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Estado de salud;Total
Ambos sexos;Total;Extremadura;Regular;16,07
Ambos sexos;Total;Extremadura;Malo;3,97
Ambos sexos;Total;Extremadura;Muy malo;0,48
Ambos sexos;Total;Galicia;Total;100,00
Ambos sexos;Total;Galicia;Muy bueno;12,39
Ambos sexos;Total;Galicia;Bueno;57,61
Ambos sexos;Total;Galicia;Regular;21,06
Ambos sexos;Total;Galicia;Malo;7,21
Ambos sexos;Total;Galicia;Muy malo;1,73
Ambos sexos;Total;Madrid (Comunidad de);Total;100,00
Ambos sexos;Total;Madrid (Comunidad de);Muy bueno;20,40
Ambos sexos;Total;Madrid (Comunidad de);Bueno;55,35
Ambos sexos;Total;Madrid (Comunidad de);Regular;18,57
Ambos sexos;Total;Madrid (Comunidad de);Malo;4,03
Ambos sexos;Total;Madrid (Comunidad de);Muy malo;1,65
Ambos sexos;Total;Murcia (Región de);Total;100,00
Ambos sexos;Total;Murcia (Región de);Muy bueno;38,40
Ambos sexos;Total;Murcia (Región de);Bueno;37,17
Ambos sexos;Total;Murcia (Región de);Regular;17,65
Ambos sexos;Total;Murcia (Región de);Malo;5,41
Ambos sexos;Total;Murcia (Región de);Muy malo;1,37
Ambos sexos;Total;Navarra (Comunidad Foral de);Total;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Muy bueno;26,05
Ambos sexos;Total;Navarra (Comunidad Foral de);Bueno;51,60
Ambos sexos;Total;Navarra (Comunidad Foral de);Regular;15,58
Ambos sexos;Total;Navarra (Comunidad Foral de);Malo;5,94
Ambos sexos;Total;Navarra (Comunidad Foral de);Muy malo;0,83
Ambos sexos;Total;País Vasco;Total;100,00
Ambos sexos;Total;País Vasco;Muy bueno;26,47
Ambos sexos;Total;País Vasco;Bueno;51,30
Ambos sexos;Total;País Vasco;Regular;14,80
Ambos sexos;Total;País Vasco;Malo;5,97
Ambos sexos;Total;País Vasco;Muy malo;1,46
Ambos sexos;Total;Rioja (La);Total;100,00
Ambos sexos;Total;Rioja (La);Muy bueno;25,57
Ambos sexos;Total;Rioja (La);Bueno;47,78
Ambos sexos;Total;Rioja (La);Regular;20,19
Ambos sexos;Total;Rioja (La);Malo;4,30
Ambos sexos;Total;Rioja (La);Muy malo;2,16
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Muy bueno;14,69
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Bueno;66,97
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Regular;13,40
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Malo;4,16
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Muy malo;0,78
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Total;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Muy bueno;19,72
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Bueno;59,49
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Regular;18,45
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Malo;2,34
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Muy malo;0,00
Hombres;Total;;Total;100,00
Hombres;Total;;Muy bueno;28,17
Hombres;Total;;Bueno;51,10
Hombres;Total;;Regular;15,23
Hombres;Total;;Malo;4,37
Hombres;Total;;Muy malo;1,13
Hombres;Total;Andalucía;Total;100,00
Hombres;Total;Andalucía;Muy bueno;35,82
Hombres;Total;Andalucía;Bueno;46,87
Hombres;Total;Andalucía;Regular;11,82
Hombres;Total;Andalucía;Malo;4,11
Hombres;Total;Andalucía;Muy malo;1,39
Hombres;Total;Aragón;Total;100,00
Hombres;Total;Aragón;Muy bueno;38,79
Hombres;Total;Aragón;Bueno;43,22
Hombres;Total;Aragón;Regular;14,30
Hombres;Total;Aragón;Malo;2,68
Hombres;Total;Aragón;Muy malo;1,02
Hombres;Total;Asturias (Principado de);Total;100,00
Hombres;Total;Asturias (Principado de);Muy bueno;14,06
Hombres;Total;Asturias (Principado de);Bueno;60,82
Hombres;Total;Asturias (Principado de);Regular;20,56
Hombres;Total;Asturias (Principado de);Malo;4,01
Hombres;Total;Asturias (Principado de);Muy malo;0,55
Hombres;Total;Balears (Illes);Total;100,00
Hombres;Total;Balears (Illes);Muy bueno;25,57
Hombres;Total;Balears (Illes);Bueno;58,95
Hombres;Total;Balears (Illes);Regular;10,79
Hombres;Total;Balears (Illes);Malo;4,69
Hombres;Total;Balears (Illes);Muy malo;0,00
Hombres;Total;Canarias;Total;100,00
Hombres;Total;Canarias;Muy bueno;22,62
Hombres;Total;Canarias;Bueno;48,75
Hombres;Total;Canarias;Regular;19,30
Hombres;Total;Canarias;Malo;6,87
Hombres;Total;Canarias;Muy malo;2,46
Hombres;Total;Cantabria;Total;100,00
Hombres;Total;Cantabria;Muy bueno;48,27
Hombres;Total;Cantabria;Bueno;31,67
Hombres;Total;Cantabria;Regular;13,24
Hombres;Total;Cantabria;Malo;5,41
Hombres;Total;Cantabria;Muy malo;1,41
Hombres;Total;Castilla y León;Total;100,00
Hombres;Total;Castilla y León;Muy bueno;18,41
Hombres;Total;Castilla y León;Bueno;52,16
Hombres;Total;Castilla y León;Regular;19,79
Hombres;Total;Castilla y León;Malo;8,68
Hombres;Total;Castilla y León;Muy malo;0,95
Hombres;Total;Castilla-La Mancha;Total;100,00
Hombres;Total;Castilla-La Mancha;Muy bueno;28,33
Hombres;Total;Castilla-La Mancha;Bueno;51,34
Hombres;Total;Castilla-La Mancha;Regular;15,29
Hombres;Total;Castilla-La Mancha;Malo;4,34
Hombres;Total;Castilla-La Mancha;Muy malo;0,71
Hombres;Total;Cataluña;Total;100,00
Hombres;Total;Cataluña;Muy bueno;31,85
Hombres;Total;Cataluña;Bueno;50,93
Hombres;Total;Cataluña;Regular;14,38
Hombres;Total;Cataluña;Malo;2,59
Hombres;Total;Cataluña;Muy malo;0,25
Hombres;Total;Comunitat Valenciana;Total;100,00
Hombres;Total;Comunitat Valenciana;Muy bueno;25,06
Hombres;Total;Comunitat Valenciana;Bueno;51,37
Hombres;Total;Comunitat Valenciana;Regular;15,90
Hombres;Total;Comunitat Valenciana;Malo;5,48
Hombres;Total;Comunitat Valenciana;Muy malo;2,19
Hombres;Total;Extremadura;Total;100,00
Hombres;Total;Extremadura;Muy bueno;32,91
Hombres;Total;Extremadura;Bueno;48,67
Hombres;Total;Extremadura;Regular;14,86
Hombres;Total;Extremadura;Malo;3,18
Hombres;Total;Extremadura;Muy malo;0,39
Hombres;Total;Galicia;Total;100,00
Hombres;Total;Galicia;Muy bueno;13,03
Hombres;Total;Galicia;Bueno;60,03
Hombres;Total;Galicia;Regular;19,88
Hombres;Total;Galicia;Malo;5,75
Hombres;Total;Galicia;Muy malo;1,32
Hombres;Total;Madrid (Comunidad de);Total;100,00
Hombres;Total;Madrid (Comunidad de);Muy bueno;23,59
Hombres;Total;Madrid (Comunidad de);Bueno;56,56
Hombres;Total;Madrid (Comunidad de);Regular;15,60
Hombres;Total;Madrid (Comunidad de);Malo;3,06
Hombres;Total;Madrid (Comunidad de);Muy malo;1,19
Hombres;Total;Murcia (Región de);Total;100,00
Hombres;Total;Murcia (Región de);Muy bueno;41,49
Hombres;Total;Murcia (Región de);Bueno;39,14
Hombres;Total;Murcia (Región de);Regular;14,11
Hombres;Total;Murcia (Región de);Malo;4,39
Hombres;Total;Murcia (Región de);Muy malo;0,86
Hombres;Total;Navarra (Comunidad Foral de);Total;100,00
Hombres;Total;Navarra (Comunidad Foral de);Muy bueno;26,89
Hombres;Total;Navarra (Comunidad Foral de);Bueno;51,66
Hombres;Total;Navarra (Comunidad Foral de);Regular;15,12
Hombres;Total;Navarra (Comunidad Foral de);Malo;5,27
Hombres;Total;Navarra (Comunidad Foral de);Muy malo;1,06
Hombres;Total;País Vasco;Total;100,00
Hombres;Total;País Vasco;Muy bueno;28,00
Hombres;Total;País Vasco;Bueno;50,64
Hombres;Total;País Vasco;Regular;15,61
Hombres;Total;País Vasco;Malo;4,78
Hombres;Total;País Vasco;Muy malo;0,97
Hombres;Total;Rioja (La);Total;100,00
Hombres;Total;Rioja (La);Muy bueno;29,21
Hombres;Total;Rioja (La);Bueno;48,72
Hombres;Total;Rioja (La);Regular;16,34
Hombres;Total;Rioja (La);Malo;3,91
Hombres;Total;Rioja (La);Muy malo;1,82
Hombres;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Muy bueno;19,14
Hombres;Total;Ceuta (Ciudad Autónoma de);Bueno;67,81
Hombres;Total;Ceuta (Ciudad Autónoma de);Regular;7,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Malo;5,35
Hombres;Total;Ceuta (Ciudad Autónoma de);Muy malo;0,70
Hombres;Total;Melilla (Ciudad Autónoma de);Total;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Muy bueno;24,15
Hombres;Total;Melilla (Ciudad Autónoma de);Bueno;58,23
Hombres;Total;Melilla (Ciudad Autónoma de);Regular;16,53
Hombres;Total;Melilla (Ciudad Autónoma de);Malo;1,09
Hombres;Total;Melilla (Ciudad Autónoma de);Muy malo;0,00
Mujeres;Total;;Total;100,00
Mujeres;Total;;Muy bueno;23,45
Mujeres;Total;;Bueno;48,49
Mujeres;Total;;Regular;19,56
Mujeres;Total;;Malo;6,62
Mujeres;Total;;Muy malo;1,87
Mujeres;Total;Andalucía;Total;100,00
Mujeres;Total;Andalucía;Muy bueno;31,50
Mujeres;Total;Andalucía;Bueno;42,55
Mujeres;Total;Andalucía;Regular;17,55
Mujeres;Total;Andalucía;Malo;6,24
Mujeres;Total;Andalucía;Muy malo;2,17
Mujeres;Total;Aragón;Total;100,00
Mujeres;Total;Aragón;Muy bueno;30,17
Mujeres;Total;Aragón;Bueno;41,58
Mujeres;Total;Aragón;Regular;20,85
Mujeres;Total;Aragón;Malo;6,81
Mujeres;Total;Aragón;Muy malo;0,60
Mujeres;Total;Asturias (Principado de);Total;100,00
Mujeres;Total;Asturias (Principado de);Muy bueno;8,78
Mujeres;Total;Asturias (Principado de);Bueno;53,10
Mujeres;Total;Asturias (Principado de);Regular;27,99
Mujeres;Total;Asturias (Principado de);Malo;8,03
Mujeres;Total;Asturias (Principado de);Muy malo;2,11
Mujeres;Total;Balears (Illes);Total;100,00
Mujeres;Total;Balears (Illes);Muy bueno;25,81
Mujeres;Total;Balears (Illes);Bueno;55,54
Mujeres;Total;Balears (Illes);Regular;14,41
Mujeres;Total;Balears (Illes);Malo;3,79
Mujeres;Total;Balears (Illes);Muy malo;0,45
Mujeres;Total;Canarias;Total;100,00
Mujeres;Total;Canarias;Muy bueno;18,12
Mujeres;Total;Canarias;Bueno;39,99
Mujeres;Total;Canarias;Regular;30,57
Mujeres;Total;Canarias;Malo;10,53
Mujeres;Total;Canarias;Muy malo;0,80
Mujeres;Total;Cantabria;Total;100,00
Mujeres;Total;Cantabria;Muy bueno;40,10
Mujeres;Total;Cantabria;Bueno;33,19
Mujeres;Total;Cantabria;Regular;18,17
Mujeres;Total;Cantabria;Malo;5,00
Mujeres;Total;Cantabria;Muy malo;3,55
Mujeres;Total;Castilla y León;Total;100,00
Mujeres;Total;Castilla y León;Muy bueno;17,71
Mujeres;Total;Castilla y León;Bueno;44,68
Mujeres;Total;Castilla y León;Regular;26,02
Mujeres;Total;Castilla y León;Malo;9,57
Mujeres;Total;Castilla y León;Muy malo;2,01
Mujeres;Total;Castilla-La Mancha;Total;100,00
Mujeres;Total;Castilla-La Mancha;Muy bueno;19,31
Mujeres;Total;Castilla-La Mancha;Bueno;50,65
Mujeres;Total;Castilla-La Mancha;Regular;21,29
Mujeres;Total;Castilla-La Mancha;Malo;7,08
Mujeres;Total;Castilla-La Mancha;Muy malo;1,68
Mujeres;Total;Cataluña;Total;100,00
Mujeres;Total;Cataluña;Muy bueno;23,75
Mujeres;Total;Cataluña;Bueno;51,00
Mujeres;Total;Cataluña;Regular;18,46
Mujeres;Total;Cataluña;Malo;5,68
Mujeres;Total;Cataluña;Muy malo;1,13
Mujeres;Total;Comunitat Valenciana;Total;100,00
Mujeres;Total;Comunitat Valenciana;Muy bueno;25,09
Mujeres;Total;Comunitat Valenciana;Bueno;49,97
Mujeres;Total;Comunitat Valenciana;Regular;13,89
Mujeres;Total;Comunitat Valenciana;Malo;7,60
Mujeres;Total;Comunitat Valenciana;Muy malo;3,45
Mujeres;Total;Extremadura;Total;100,00
Mujeres;Total;Extremadura;Muy bueno;27,89
Mujeres;Total;Extremadura;Bueno;49,56
Mujeres;Total;Extremadura;Regular;17,25
Mujeres;Total;Extremadura;Malo;4,74
Mujeres;Total;Extremadura;Muy malo;0,57
Mujeres;Total;Galicia;Total;100,00
Mujeres;Total;Galicia;Muy bueno;11,80
Mujeres;Total;Galicia;Bueno;55,38
Mujeres;Total;Galicia;Regular;22,15
Mujeres;Total;Galicia;Malo;8,55
Mujeres;Total;Galicia;Muy malo;2,11
Mujeres;Total;Madrid (Comunidad de);Total;100,00
Mujeres;Total;Madrid (Comunidad de);Muy bueno;17,53
Mujeres;Total;Madrid (Comunidad de);Bueno;54,26
Mujeres;Total;Madrid (Comunidad de);Regular;21,24
Mujeres;Total;Madrid (Comunidad de);Malo;4,91
Mujeres;Total;Madrid (Comunidad de);Muy malo;2,06
Mujeres;Total;Murcia (Región de);Total;100,00
Mujeres;Total;Murcia (Región de);Muy bueno;35,33
Mujeres;Total;Murcia (Región de);Bueno;35,22
Mujeres;Total;Murcia (Región de);Regular;21,15
Mujeres;Total;Murcia (Región de);Malo;6,42
Mujeres;Total;Murcia (Región de);Muy malo;1,88
Mujeres;Total;Navarra (Comunidad Foral de);Total;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Muy bueno;25,24
Mujeres;Total;Navarra (Comunidad Foral de);Bueno;51,54
Mujeres;Total;Navarra (Comunidad Foral de);Regular;16,03
Mujeres;Total;Navarra (Comunidad Foral de);Malo;6,58
Mujeres;Total;Navarra (Comunidad Foral de);Muy malo;0,61
Mujeres;Total;País Vasco;Total;100,00
Mujeres;Total;País Vasco;Muy bueno;25,06
Mujeres;Total;País Vasco;Bueno;51,91
Mujeres;Total;País Vasco;Regular;14,05
Mujeres;Total;País Vasco;Malo;7,06
Mujeres;Total;País Vasco;Muy malo;1,92
Mujeres;Total;Rioja (La);Total;100,00
Mujeres;Total;Rioja (La);Muy bueno;22,07
Mujeres;Total;Rioja (La);Bueno;46,87
Mujeres;Total;Rioja (La);Regular;23,90
Mujeres;Total;Rioja (La);Malo;4,67
Mujeres;Total;Rioja (La);Muy malo;2,49
Mujeres;Total;Ceuta (Ciudad Autónoma de);Total;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Muy bueno;10,18
Mujeres;Total;Ceuta (Ciudad Autónoma de);Bueno;66,12
Mujeres;Total;Ceuta (Ciudad Autónoma de);Regular;19,89
Mujeres;Total;Ceuta (Ciudad Autónoma de);Malo;2,95
Mujeres;Total;Ceuta (Ciudad Autónoma de);Muy malo;0,87
Mujeres;Total;Melilla (Ciudad Autónoma de);Total;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Muy bueno;15,35
Mujeres;Total;Melilla (Ciudad Autónoma de);Bueno;60,73
Mujeres;Total;Melilla (Ciudad Autónoma de);Regular;20,35
Mujeres;Total;Melilla (Ciudad Autónoma de);Malo;3,56
Mujeres;Total;Melilla (Ciudad Autónoma de);Muy malo;0,00
