Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Masa corporal adultos;Total
Ambos sexos;Total;Cantabria;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);39,06
Ambos sexos;Total;Cantabria;Obesidad (IMC>=30 kg/m2);13,68
Ambos sexos;Total;Castilla y León;TOTAL;100,00
Ambos sexos;Total;Castilla y León;Peso insuficiente (IMC<18,5 kg/m2);3,02
Ambos sexos;Total;Castilla y León;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);43,72
Ambos sexos;Total;Castilla y León;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);36,44
Ambos sexos;Total;Castilla y León;Obesidad (IMC>=30 kg/m2);16,82
Ambos sexos;Total;Castilla-La Mancha;TOTAL;100,00
Ambos sexos;Total;Castilla-La Mancha;Peso insuficiente (IMC<18,5 kg/m2);2,06
Ambos sexos;Total;Castilla-La Mancha;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);41,73
Ambos sexos;Total;Castilla-La Mancha;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);41,81
Ambos sexos;Total;Castilla-La Mancha;Obesidad (IMC>=30 kg/m2);14,40
Ambos sexos;Total;Cataluña;TOTAL;100,00
Ambos sexos;Total;Cataluña;Peso insuficiente (IMC<18,5 kg/m2);2,14
Ambos sexos;Total;Cataluña;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);46,41
Ambos sexos;Total;Cataluña;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);37,24
Ambos sexos;Total;Cataluña;Obesidad (IMC>=30 kg/m2);14,20
Ambos sexos;Total;Comunitat Valenciana;TOTAL;100,00
Ambos sexos;Total;Comunitat Valenciana;Peso insuficiente (IMC<18,5 kg/m2);1,83
Ambos sexos;Total;Comunitat Valenciana;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);45,06
Ambos sexos;Total;Comunitat Valenciana;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);36,45
Ambos sexos;Total;Comunitat Valenciana;Obesidad (IMC>=30 kg/m2);16,66
Ambos sexos;Total;Extremadura;TOTAL;100,00
Ambos sexos;Total;Extremadura;Peso insuficiente (IMC<18,5 kg/m2);1,68
Ambos sexos;Total;Extremadura;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);45,17
Ambos sexos;Total;Extremadura;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);40,33
Ambos sexos;Total;Extremadura;Obesidad (IMC>=30 kg/m2);12,82
Ambos sexos;Total;Galicia;TOTAL;100,00
Ambos sexos;Total;Galicia;Peso insuficiente (IMC<18,5 kg/m2);2,19
Ambos sexos;Total;Galicia;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);42,11
Ambos sexos;Total;Galicia;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);39,22
Ambos sexos;Total;Galicia;Obesidad (IMC>=30 kg/m2);16,49
Ambos sexos;Total;Madrid (Comunidad de);TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Peso insuficiente (IMC<18,5 kg/m2);1,82
Ambos sexos;Total;Madrid (Comunidad de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);49,08
Ambos sexos;Total;Madrid (Comunidad de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);35,68
Ambos sexos;Total;Madrid (Comunidad de);Obesidad (IMC>=30 kg/m2);13,42
Ambos sexos;Total;Murcia (Región de);TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Peso insuficiente (IMC<18,5 kg/m2);1,31
Ambos sexos;Total;Murcia (Región de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);38,94
Ambos sexos;Total;Murcia (Región de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);40,67
Ambos sexos;Total;Murcia (Región de);Obesidad (IMC>=30 kg/m2);19,08
Ambos sexos;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Peso insuficiente (IMC<18,5 kg/m2);2,14
Ambos sexos;Total;Navarra (Comunidad Foral de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);51,16
Ambos sexos;Total;Navarra (Comunidad Foral de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);33,46
Ambos sexos;Total;Navarra (Comunidad Foral de);Obesidad (IMC>=30 kg/m2);13,23
Ambos sexos;Total;País Vasco;TOTAL;100,00
Ambos sexos;Total;País Vasco;Peso insuficiente (IMC<18,5 kg/m2);1,69
Ambos sexos;Total;País Vasco;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);45,64
Ambos sexos;Total;País Vasco;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);39,16
Ambos sexos;Total;País Vasco;Obesidad (IMC>=30 kg/m2);13,51
Ambos sexos;Total;Rioja (La);TOTAL;100,00
Ambos sexos;Total;Rioja (La);Peso insuficiente (IMC<18,5 kg/m2);2,25
Ambos sexos;Total;Rioja (La);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);43,38
Ambos sexos;Total;Rioja (La);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);38,56
Ambos sexos;Total;Rioja (La);Obesidad (IMC>=30 kg/m2);15,81
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Peso insuficiente (IMC<18,5 kg/m2);2,38
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);46,85
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);37,27
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Obesidad (IMC>=30 kg/m2);13,50
Ambos sexos;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Peso insuficiente (IMC<18,5 kg/m2);1,05
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);45,47
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);46,67
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Obesidad (IMC>=30 kg/m2);6,81
Hombres;Total;;TOTAL;100,00
Hombres;Total;;Peso insuficiente (IMC<18,5 kg/m2);0,84
Hombres;Total;;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);37,76
Hombres;Total;;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);44,90
Hombres;Total;;Obesidad (IMC>=30 kg/m2);16,50
Hombres;Total;Andalucía;TOTAL;100,00
Hombres;Total;Andalucía;Peso insuficiente (IMC<18,5 kg/m2);1,28
Hombres;Total;Andalucía;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);33,49
Hombres;Total;Andalucía;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);45,70
Hombres;Total;Andalucía;Obesidad (IMC>=30 kg/m2);19,53
Hombres;Total;Aragón;TOTAL;100,00
Hombres;Total;Aragón;Peso insuficiente (IMC<18,5 kg/m2);0,73
Hombres;Total;Aragón;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);44,61
Hombres;Total;Aragón;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);38,27
Hombres;Total;Aragón;Obesidad (IMC>=30 kg/m2);16,38
Hombres;Total;Asturias (Principado de);TOTAL;100,00
Hombres;Total;Asturias (Principado de);Peso insuficiente (IMC<18,5 kg/m2);0,41
Hombres;Total;Asturias (Principado de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);38,64
Hombres;Total;Asturias (Principado de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);40,18
Hombres;Total;Asturias (Principado de);Obesidad (IMC>=30 kg/m2);20,76
Hombres;Total;Balears (Illes);TOTAL;100,00
Hombres;Total;Balears (Illes);Peso insuficiente (IMC<18,5 kg/m2);0,29
Hombres;Total;Balears (Illes);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);40,74
Hombres;Total;Balears (Illes);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);40,61
Hombres;Total;Balears (Illes);Obesidad (IMC>=30 kg/m2);18,37
Hombres;Total;Canarias;TOTAL;100,00
Hombres;Total;Canarias;Peso insuficiente (IMC<18,5 kg/m2);0,99
Hombres;Total;Canarias;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);37,85
Hombres;Total;Canarias;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);44,03
Hombres;Total;Canarias;Obesidad (IMC>=30 kg/m2);17,13
Hombres;Total;Cantabria;TOTAL;100,00
Hombres;Total;Cantabria;Peso insuficiente (IMC<18,5 kg/m2);0,04
Hombres;Total;Cantabria;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);40,02
Hombres;Total;Cantabria;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);44,44
Hombres;Total;Cantabria;Obesidad (IMC>=30 kg/m2);15,50
Hombres;Total;Castilla y León;TOTAL;100,00
Hombres;Total;Castilla y León;Peso insuficiente (IMC<18,5 kg/m2);1,59
Hombres;Total;Castilla y León;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);35,57
Hombres;Total;Castilla y León;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);46,11
Hombres;Total;Castilla y León;Obesidad (IMC>=30 kg/m2);16,73
Hombres;Total;Castilla-La Mancha;TOTAL;100,00
Hombres;Total;Castilla-La Mancha;Peso insuficiente (IMC<18,5 kg/m2);0,73
Hombres;Total;Castilla-La Mancha;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);32,25
Hombres;Total;Castilla-La Mancha;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);49,60
Hombres;Total;Castilla-La Mancha;Obesidad (IMC>=30 kg/m2);17,42
Hombres;Total;Cataluña;TOTAL;100,00
Hombres;Total;Cataluña;Peso insuficiente (IMC<18,5 kg/m2);0,50
Hombres;Total;Cataluña;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);41,40
Hombres;Total;Cataluña;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);44,91
Hombres;Total;Cataluña;Obesidad (IMC>=30 kg/m2);13,18
Hombres;Total;Comunitat Valenciana;TOTAL;100,00
Hombres;Total;Comunitat Valenciana;Peso insuficiente (IMC<18,5 kg/m2);0,85
Hombres;Total;Comunitat Valenciana;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);36,63
Hombres;Total;Comunitat Valenciana;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);43,33
Hombres;Total;Comunitat Valenciana;Obesidad (IMC>=30 kg/m2);19,20
Hombres;Total;Extremadura;TOTAL;100,00
Hombres;Total;Extremadura;Peso insuficiente (IMC<18,5 kg/m2);1,16
Hombres;Total;Extremadura;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);37,19
Hombres;Total;Extremadura;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);47,34
Hombres;Total;Extremadura;Obesidad (IMC>=30 kg/m2);14,32
Hombres;Total;Galicia;TOTAL;100,00
Hombres;Total;Galicia;Peso insuficiente (IMC<18,5 kg/m2);0,97
Hombres;Total;Galicia;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);36,38
Hombres;Total;Galicia;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);45,80
Hombres;Total;Galicia;Obesidad (IMC>=30 kg/m2);16,85
Hombres;Total;Madrid (Comunidad de);TOTAL;100,00
Hombres;Total;Madrid (Comunidad de);Peso insuficiente (IMC<18,5 kg/m2);0,85
Hombres;Total;Madrid (Comunidad de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);41,35
Hombres;Total;Madrid (Comunidad de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);43,92
Hombres;Total;Madrid (Comunidad de);Obesidad (IMC>=30 kg/m2);13,87
Hombres;Total;Murcia (Región de);TOTAL;100,00
Hombres;Total;Murcia (Región de);Peso insuficiente (IMC<18,5 kg/m2);0,23
Hombres;Total;Murcia (Región de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);34,18
Hombres;Total;Murcia (Región de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);46,06
Hombres;Total;Murcia (Región de);Obesidad (IMC>=30 kg/m2);19,53
Hombres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Hombres;Total;Navarra (Comunidad Foral de);Peso insuficiente (IMC<18,5 kg/m2);0,00
Hombres;Total;Navarra (Comunidad Foral de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);43,65
Hombres;Total;Navarra (Comunidad Foral de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);42,85
Hombres;Total;Navarra (Comunidad Foral de);Obesidad (IMC>=30 kg/m2);13,50
Hombres;Total;País Vasco;TOTAL;100,00
Hombres;Total;País Vasco;Peso insuficiente (IMC<18,5 kg/m2);0,62
Hombres;Total;País Vasco;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);36,53
Hombres;Total;País Vasco;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);49,35
Hombres;Total;País Vasco;Obesidad (IMC>=30 kg/m2);13,49
Hombres;Total;Rioja (La);TOTAL;100,00
Hombres;Total;Rioja (La);Peso insuficiente (IMC<18,5 kg/m2);0,27
Hombres;Total;Rioja (La);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);34,89
Hombres;Total;Rioja (La);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);47,56
Hombres;Total;Rioja (La);Obesidad (IMC>=30 kg/m2);17,27
Hombres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Ceuta (Ciudad Autónoma de);Peso insuficiente (IMC<18,5 kg/m2);2,65
Hombres;Total;Ceuta (Ciudad Autónoma de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);48,36
Hombres;Total;Ceuta (Ciudad Autónoma de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);35,87
Hombres;Total;Ceuta (Ciudad Autónoma de);Obesidad (IMC>=30 kg/m2);13,12
Hombres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Hombres;Total;Melilla (Ciudad Autónoma de);Peso insuficiente (IMC<18,5 kg/m2);0,00
Hombres;Total;Melilla (Ciudad Autónoma de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);35,03
Hombres;Total;Melilla (Ciudad Autónoma de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);59,87
Hombres;Total;Melilla (Ciudad Autónoma de);Obesidad (IMC>=30 kg/m2);5,10
Mujeres;Total;;TOTAL;100,00
Mujeres;Total;;Peso insuficiente (IMC<18,5 kg/m2);3,28
Mujeres;Total;;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);50,63
Mujeres;Total;;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);30,56
Mujeres;Total;;Obesidad (IMC>=30 kg/m2);15,54
Mujeres;Total;Andalucía;TOTAL;100,00
Mujeres;Total;Andalucía;Peso insuficiente (IMC<18,5 kg/m2);2,85
Mujeres;Total;Andalucía;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);45,94
Mujeres;Total;Andalucía;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);31,41
Mujeres;Total;Andalucía;Obesidad (IMC>=30 kg/m2);19,80
Mujeres;Total;Aragón;TOTAL;100,00
Mujeres;Total;Aragón;Peso insuficiente (IMC<18,5 kg/m2);3,20
Mujeres;Total;Aragón;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);51,58
Mujeres;Total;Aragón;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);30,09
Mujeres;Total;Aragón;Obesidad (IMC>=30 kg/m2);15,13
Mujeres;Total;Asturias (Principado de);TOTAL;100,00
Mujeres;Total;Asturias (Principado de);Peso insuficiente (IMC<18,5 kg/m2);2,98
Mujeres;Total;Asturias (Principado de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);50,91
Mujeres;Total;Asturias (Principado de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);28,49
Mujeres;Total;Asturias (Principado de);Obesidad (IMC>=30 kg/m2);17,61
Mujeres;Total;Balears (Illes);TOTAL;100,00
Mujeres;Total;Balears (Illes);Peso insuficiente (IMC<18,5 kg/m2);5,85
Mujeres;Total;Balears (Illes);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);48,77
Mujeres;Total;Balears (Illes);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);31,17
Mujeres;Total;Balears (Illes);Obesidad (IMC>=30 kg/m2);14,21
Mujeres;Total;Canarias;TOTAL;100,00
Mujeres;Total;Canarias;Peso insuficiente (IMC<18,5 kg/m2);4,69
Mujeres;Total;Canarias;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);41,71
Mujeres;Total;Canarias;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);35,72
Mujeres;Total;Canarias;Obesidad (IMC>=30 kg/m2);17,88
Mujeres;Total;Cantabria;TOTAL;100,00
Mujeres;Total;Cantabria;Peso insuficiente (IMC<18,5 kg/m2);3,92
Mujeres;Total;Cantabria;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);50,36
Mujeres;Total;Cantabria;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);33,81
Mujeres;Total;Cantabria;Obesidad (IMC>=30 kg/m2);11,91
Mujeres;Total;Castilla y León;TOTAL;100,00
Mujeres;Total;Castilla y León;Peso insuficiente (IMC<18,5 kg/m2);4,42
Mujeres;Total;Castilla y León;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);51,76
Mujeres;Total;Castilla y León;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);26,92
Mujeres;Total;Castilla y León;Obesidad (IMC>=30 kg/m2);16,91
Mujeres;Total;Castilla-La Mancha;TOTAL;100,00
Mujeres;Total;Castilla-La Mancha;Peso insuficiente (IMC<18,5 kg/m2);3,42
Mujeres;Total;Castilla-La Mancha;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);51,44
Mujeres;Total;Castilla-La Mancha;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);33,84
Mujeres;Total;Castilla-La Mancha;Obesidad (IMC>=30 kg/m2);11,29
Mujeres;Total;Cataluña;TOTAL;100,00
Mujeres;Total;Cataluña;Peso insuficiente (IMC<18,5 kg/m2);3,74
Mujeres;Total;Cataluña;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);51,30
Mujeres;Total;Cataluña;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);29,75
Mujeres;Total;Cataluña;Obesidad (IMC>=30 kg/m2);15,20
Mujeres;Total;Comunitat Valenciana;TOTAL;100,00
Mujeres;Total;Comunitat Valenciana;Peso insuficiente (IMC<18,5 kg/m2);2,80
Mujeres;Total;Comunitat Valenciana;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);53,36
Mujeres;Total;Comunitat Valenciana;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);29,68
Mujeres;Total;Comunitat Valenciana;Obesidad (IMC>=30 kg/m2);14,16
Mujeres;Total;Extremadura;TOTAL;100,00
Mujeres;Total;Extremadura;Peso insuficiente (IMC<18,5 kg/m2);2,18
Mujeres;Total;Extremadura;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);52,87
Mujeres;Total;Extremadura;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);33,57
Mujeres;Total;Extremadura;Obesidad (IMC>=30 kg/m2);11,38
Mujeres;Total;Galicia;TOTAL;100,00
Mujeres;Total;Galicia;Peso insuficiente (IMC<18,5 kg/m2);3,31
Mujeres;Total;Galicia;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);47,37
Mujeres;Total;Galicia;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);33,16
Mujeres;Total;Galicia;Obesidad (IMC>=30 kg/m2);16,16
Mujeres;Total;Madrid (Comunidad de);TOTAL;100,00
Mujeres;Total;Madrid (Comunidad de);Peso insuficiente (IMC<18,5 kg/m2);2,70
Mujeres;Total;Madrid (Comunidad de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);56,02
Mujeres;Total;Madrid (Comunidad de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);28,27
Mujeres;Total;Madrid (Comunidad de);Obesidad (IMC>=30 kg/m2);13,02
Mujeres;Total;Murcia (Región de);TOTAL;100,00
Mujeres;Total;Murcia (Región de);Peso insuficiente (IMC<18,5 kg/m2);2,39
Mujeres;Total;Murcia (Región de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);43,71
Mujeres;Total;Murcia (Región de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);35,27
Mujeres;Total;Murcia (Región de);Obesidad (IMC>=30 kg/m2);18,62
Mujeres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Mujeres;Total;Navarra (Comunidad Foral de);Peso insuficiente (IMC<18,5 kg/m2);4,37
Mujeres;Total;Navarra (Comunidad Foral de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);58,94
Mujeres;Total;Navarra (Comunidad Foral de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);23,73
Mujeres;Total;Navarra (Comunidad Foral de);Obesidad (IMC>=30 kg/m2);12,96
Mujeres;Total;País Vasco;TOTAL;100,00
Mujeres;Total;País Vasco;Peso insuficiente (IMC<18,5 kg/m2);2,73
Mujeres;Total;País Vasco;Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);54,59
Mujeres;Total;País Vasco;Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);29,14
Mujeres;Total;País Vasco;Obesidad (IMC>=30 kg/m2);13,53
Mujeres;Total;Rioja (La);TOTAL;100,00
Mujeres;Total;Rioja (La);Peso insuficiente (IMC<18,5 kg/m2);4,32
Mujeres;Total;Rioja (La);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);52,30
Mujeres;Total;Rioja (La);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);29,10
Mujeres;Total;Rioja (La);Obesidad (IMC>=30 kg/m2);14,28
Mujeres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Peso insuficiente (IMC<18,5 kg/m2);2,10
Mujeres;Total;Ceuta (Ciudad Autónoma de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);45,37
Mujeres;Total;Ceuta (Ciudad Autónoma de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);38,66
Mujeres;Total;Ceuta (Ciudad Autónoma de);Obesidad (IMC>=30 kg/m2);13,87
Mujeres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Peso insuficiente (IMC<18,5 kg/m2);2,11
Mujeres;Total;Melilla (Ciudad Autónoma de);Normopeso (18,5 kg/m2 <=IMC<25 kg/m2);55,92
Mujeres;Total;Melilla (Ciudad Autónoma de);Sobrepeso (25 kg/m2 <=IMC<30 kg/m2);33,46
Mujeres;Total;Melilla (Ciudad Autónoma de);Obesidad (IMC>=30 kg/m2);8,52
